phase B: NB=2162160 |mods|=131 mass=1.7945
phase B: 3100 restarts best_left=0.02748 (1826.6s)
phase B: 3120 restarts best_left=0.02748 (1836.8s)
phase B: 3140 restarts best_left=0.02748 (1846.3s)
phase B: 3160 restarts best_left=0.02748 (1858.7s)
phase B: 3180 restarts best_left=0.02748 (1869.0s)
phase B: 3200 restarts best_left=0.02748 (1882.3s)
phase B: 3220 restarts best_left=0.02748 (1895.5s)
phase B: 3240 restarts best_left=0.02748 (1906.4s)
phase B: 3260 restarts best_left=0.02748 (1917.9s)
phase B: 3280 restarts best_left=0.02748 (1926.4s)
phase B: 3300 restarts best_left=0.02748 (1936.9s)
phase B: 3320 restarts best_left=0.02748 (1947.4s)
phase B: 3340 restarts best_left=0.02748 (1959.0s)
phase B: 3360 restarts best_left=0.02748 (1971.0s)
phase B: 3380 restarts best_left=0.02748 (1982.8s)
phase B: 3400 restarts best_left=0.02748 (1996.5s)
phase B: 3420 restarts best_left=0.02748 (2009.9s)
phase B: 3440 restarts best_left=0.02748 (2018.9s)
phase B: 3460 restarts best_left=0.02748 (2029.1s)
phase B: 3480 restarts best_left=0.02748 (2037.9s)
phase B: 3500 restarts best_left=0.02694 (2045.9s)
phase B: 3520 restarts best_left=0.02694 (2054.1s)
phase B: 3540 restarts best_left=0.02694 (2066.6s)
phase B: 3560 restarts best_left=0.02694 (2076.2s)
phase B: 3580 restarts best_left=0.02694 (2084.6s)
phase B: 3600 restarts best_left=0.02694 (2095.0s)
phase B: 3620 restarts best_left=0.02694 (2105.3s)
phase B: 3640 restarts best_left=0.02694 (2113.4s)
phase B: 3660 restarts best_left=0.02694 (2120.9s)
phase B: 3680 restarts best_left=0.02694 (2129.2s)
phase B: 3700 restarts best_left=0.02694 (2139.7s)
phase B: 3720 restarts best_left=0.02694 (2150.4s)
phase B: 3740 restarts best_left=0.02694 (2158.7s)
phase B: 3760 restarts best_left=0.02694 (2167.5s)
phase B: 3780 restarts best_left=0.02694 (2175.3s)
phase B: 3800 restarts best_left=0.02694 (2183.3s)
phase B: 3820 restarts best_left=0.02694 (2191.9s)
phase B: 3840 restarts best_left=0.02694 (2199.6s)
phase B: 3860 restarts best_left=0.02694 (2212.9s)
phase B: 3880 restarts best_left=0.02694 (2224.4s)
phase B: 3900 restarts best_left=0.02694 (2234.3s)
phase B: 3920 restarts best_left=0.02694 (2242.4s)
phase B: 3940 restarts best_left=0.02694 (2251.7s)
phase B: 3960 restarts best_left=0.02694 (2263.6s)
phase B: 3980 restarts best_left=0.02694 (2271.6s)
phase B: 4000 restarts best_left=0.02694 (2279.4s)
phase B: 4020 restarts best_left=0.02694 (2288.7s)
phase B: 4040 restarts best_left=0.02694 (2298.4s)
phase B: 4060 restarts best_left=0.02694 (2306.3s)
phase B: 4080 restarts best_left=0.02694 (2318.1s)
phase B: 4100 restarts best_left=0.02694 (2328.7s)
phase B: 4120 restarts best_left=0.02694 (2336.9s)
phase B: 4140 restarts best_left=0.02694 (2348.8s)
phase B: 4160 restarts best_left=0.02694 (2358.1s)
phase B: 4180 restarts best_left=0.02694 (2366.2s)
phase B: 4200 restarts best_left=0.02694 (2374.0s)
phase B: 4220 restarts best_left=0.02694 (2385.4s)
phase B: 4240 restarts best_left=0.02694 (2393.3s)
phase B: 4260 restarts best_left=0.02625 (2401.1s)
phase B: 4280 restarts best_left=0.02625 (2409.1s)
phase B: 4300 restarts best_left=0.02625 (2417.1s)
phase B: 4320 restarts best_left=0.02625 (2425.2s)
phase B: 4340 restarts best_left=0.02625 (2432.9s)
phase B: 4360 restarts best_left=0.02625 (2440.8s)
phase B: 4380 restarts best_left=0.02625 (2448.8s)
