rotation	id	translation	layers	rA	rB	vertices	edges	cross_edges	status	seconds
w[55]^2	w_55^2_c10741b8d2c9	((Fraction(15, 28), Fraction(27, 392), Fraction(0, 1), Fraction(0, 1), Fraction(-9, 784), Fraction(-1, 14), Fraction(0, 1), Fraction(0, 1)), (Fraction(9, 196), Fraction(-71, 84), Fraction(0, 1), Fraction(0, 1), Fraction(5, 21), Fraction(-9, 784), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	31	SAT	0.910
w[55]	w_55_a3b8d34c1fbb	((Fraction(-23, 28), Fraction(-1, 84), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(-1, 84), Fraction(41, 84), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	30	SAT	0.671
w[55]~	w_55~_346fd4abbdfc	((Fraction(-23, 28), Fraction(1, 84), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(1, 84), Fraction(41, 84), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	30	SAT	0.655
w[55]^2	w_55^2_f89372e6f4a7	((Fraction(-19, 14), Fraction(9, 784), Fraction(0, 1), Fraction(0, 1), Fraction(-9, 392), Fraction(1, 12), Fraction(0, 1), Fraction(0, 1)), (Fraction(-45, 784), Fraction(-4, 7), Fraction(0, 1), Fraction(0, 1), Fraction(11, 28), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	31	SAT	0.724
t28~	t28~_dee6b9ace5f0	((Fraction(-37, 224), Fraction(0, 1), Fraction(0, 1), Fraction(37, 224), Fraction(-1, 224), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 672)), (Fraction(0, 1), Fraction(1, 672), Fraction(1, 672), Fraction(0, 1), Fraction(0, 1), Fraction(1, 672), Fraction(-1, 224), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.861
w[55]^2	w_55^2_537d8ecb4b89	((Fraction(101, 84), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(9, 392), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1)), (Fraction(9, 196), Fraction(5, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-11, 28), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	31	SAT	0.752
t28~	t28~_ede582203ea5	((Fraction(-191, 336), Fraction(0, 1), Fraction(0, 1), Fraction(9, 112), Fraction(-1, 112), Fraction(0, 1), Fraction(0, 1), Fraction(1, 336)), (Fraction(0, 1), Fraction(29, 336), Fraction(-29, 336), Fraction(0, 1), Fraction(0, 1), Fraction(5, 336), Fraction(-1, 112), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.599
t28~	t28~_2a3f2f9ea8e6	((Fraction(-829, 672), Fraction(0, 1), Fraction(0, 1), Fraction(55, 672), Fraction(-1, 224), Fraction(0, 1), Fraction(0, 1), Fraction(1, 672)), (Fraction(0, 1), Fraction(-167, 672), Fraction(167, 672), Fraction(0, 1), Fraction(0, 1), Fraction(11, 672), Fraction(-1, 224), Fraction(0, 1)))	3	1.6	1.6	2881	17244	54	SAT	1.699
w[11]~	w_11~_bb0d664eed47	((Fraction(5, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 36)), (Fraction(0, 1), Fraction(-5, 36), Fraction(-1, 12), Fraction(0, 1)))	3	1.6	1.6	2731	17107	3713	SAT	0.790
w[11]	w_11_0df7c917e735	((Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 18)), (Fraction(0, 1), Fraction(5, 18), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2731	17107	3713	SAT	0.846
