[77/325] {'graphs': 77, 'dags': 508075516, 'profile_dags': 432209764, 'ss_skip': 285750350, 'packed_cegar': 146459414, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=35762s
[78/325] {'graphs': 78, 'dags': 514572852, 'profile_dags': 437777376, 'ss_skip': 289232848, 'packed_cegar': 148544528, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=36136s
[79/325] {'graphs': 79, 'dags': 521571428, 'profile_dags': 443680028, 'ss_skip': 293442418, 'packed_cegar': 150237610, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=36440s
[80/325] {'graphs': 80, 'dags': 527806648, 'profile_dags': 449058880, 'ss_skip': 296651330, 'packed_cegar': 152407550, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=36849s
[81/325] {'graphs': 81, 'dags': 533545488, 'profile_dags': 454067160, 'ss_skip': 299425098, 'packed_cegar': 154642062, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=37265s
[82/325] {'graphs': 82, 'dags': 538967972, 'profile_dags': 458841692, 'ss_skip': 301867076, 'packed_cegar': 156974616, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=37723s
[83/325] {'graphs': 83, 'dags': 546161300, 'profile_dags': 464892356, 'ss_skip': 306136672, 'packed_cegar': 158755684, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=38064s
[84/325] {'graphs': 84, 'dags': 553332140, 'profile_dags': 470928500, 'ss_skip': 310387864, 'packed_cegar': 160540636, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=38410s
[85/325] {'graphs': 85, 'dags': 559462784, 'profile_dags': 476189348, 'ss_skip': 313765234, 'packed_cegar': 162424114, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=38783s
[86/325] {'graphs': 86, 'dags': 565165120, 'profile_dags': 481171264, 'ss_skip': 316459936, 'packed_cegar': 164711328, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=39359s
[87/325] {'graphs': 87, 'dags': 572586980, 'profile_dags': 487360832, 'ss_skip': 321150958, 'packed_cegar': 166209874, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=39644s
[88/325] {'graphs': 88, 'dags': 579515428, 'profile_dags': 493219996, 'ss_skip': 325199490, 'packed_cegar': 168020506, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=39990s
[89/325] {'graphs': 89, 'dags': 586345064, 'profile_dags': 499014980, 'ss_skip': 329097190, 'packed_cegar': 169917790, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=40353s
[90/325] {'graphs': 90, 'dags': 592787196, 'profile_dags': 504586176, 'ss_skip': 332072800, 'packed_cegar': 172513376, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=40869s
[91/325] {'graphs': 91, 'dags': 598973736, 'profile_dags': 509963040, 'ss_skip': 334888152, 'packed_cegar': 175074888, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=41410s
[92/325] {'graphs': 92, 'dags': 605489120, 'profile_dags': 515542256, 'ss_skip': 338388180, 'packed_cegar': 177154076, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=41798s
[93/325] {'graphs': 93, 'dags': 612675548, 'profile_dags': 521588084, 'ss_skip': 342650758, 'packed_cegar': 178937326, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=42131s
[94/325] {'graphs': 94, 'dags': 619861256, 'profile_dags': 527634692, 'ss_skip': 346908682, 'packed_cegar': 180726010, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=42460s
[95/325] {'graphs': 95, 'dags': 625981464, 'profile_dags': 532891284, 'ss_skip': 350257870, 'packed_cegar': 182633414, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=42821s
[96/325] {'graphs': 96, 'dags': 632187564, 'profile_dags': 538207236, 'ss_skip': 353738978, 'packed_cegar': 184468258, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=43144s
[97/325] {'graphs': 97, 'dags': 638688980, 'profile_dags': 543735716, 'ss_skip': 357513940, 'packed_cegar': 186221776, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=43460s
[98/325] {'graphs': 98, 'dags': 645810336, 'profile_dags': 549741348, 'ss_skip': 361652036, 'packed_cegar': 188089312, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=43805s
[99/325] {'graphs': 99, 'dags': 651619168, 'profile_dags': 554769292, 'ss_skip': 364688346, 'packed_cegar': 190080946, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=44204s
[100/325] {'graphs': 100, 'dags': 657602128, 'profile_dags': 559906228, 'ss_skip': 368036742, 'packed_cegar': 191869486, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=44679s
[101/325] {'graphs': 101, 'dags': 663891096, 'profile_dags': 565331964, 'ss_skip': 371259138, 'packed_cegar': 194072826, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=45105s
[102/325] {'graphs': 102, 'dags': 669231000, 'profile_dags': 570034908, 'ss_skip': 373582210, 'packed_cegar': 196452698, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=45644s
[103/325] {'graphs': 103, 'dags': 675336988, 'profile_dags': 575282032, 'ss_skip': 376917626, 'packed_cegar': 198364406, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=46050s
[104/325] {'graphs': 104, 'dags': 680523408, 'profile_dags': 579815760, 'ss_skip': 379513862, 'packed_cegar': 200301898, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=46464s
[105/325] {'graphs': 105, 'dags': 685662440, 'profile_dags': 584322548, 'ss_skip': 382003184, 'packed_cegar': 202319364, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=46892s
[106/325] {'graphs': 106, 'dags': 691405704, 'profile_dags': 589335360, 'ss_skip': 384732420, 'packed_cegar': 204602940, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=47615s
[107/325] {'graphs': 107, 'dags': 698170556, 'profile_dags': 595098428, 'ss_skip': 388484856, 'packed_cegar': 206613572, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=48032s
[108/325] {'graphs': 108, 'dags': 705028196, 'profile_dags': 600926156, 'ss_skip': 392311320, 'packed_cegar': 208614836, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=48442s
[109/325] {'graphs': 109, 'dags': 710866000, 'profile_dags': 605986012, 'ss_skip': 395324086, 'packed_cegar': 210661926, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=48876s
[110/325] {'graphs': 110, 'dags': 717552472, 'profile_dags': 611698180, 'ss_skip': 398939008, 'packed_cegar': 212759172, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=49306s
[111/325] {'graphs': 111, 'dags': 723943148, 'profile_dags': 617203412, 'ss_skip': 402225506, 'packed_cegar': 214977906, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=49811s
[112/325] {'graphs': 112, 'dags': 729596812, 'profile_dags': 622157932, 'ss_skip': 404805282, 'packed_cegar': 217352650, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=50320s
[113/325] {'graphs': 113, 'dags': 735686912, 'profile_dags': 627410516, 'ss_skip': 407977650, 'packed_cegar': 219432866, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=50759s
[114/325] {'graphs': 114, 'dags': 741743288, 'profile_dags': 632627552, 'ss_skip': 411244070, 'packed_cegar': 221383482, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=51157s
[115/325] {'graphs': 115, 'dags': 747306112, 'profile_dags': 637502344, 'ss_skip': 413738950, 'packed_cegar': 223763394, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=51653s
[116/325] {'graphs': 116, 'dags': 753064840, 'profile_dags': 642510400, 'ss_skip': 416625428, 'packed_cegar': 225884972, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=52160s
[117/325] {'graphs': 117, 'dags': 757565968, 'profile_dags': 646553296, 'ss_skip': 418289646, 'packed_cegar': 228263650, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=52816s
[118/325] {'graphs': 118, 'dags': 762499376, 'profile_dags': 650889128, 'ss_skip': 420698950, 'packed_cegar': 230190178, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=53275s
[119/325] {'graphs': 119, 'dags': 767710188, 'profile_dags': 655436496, 'ss_skip': 423374102, 'packed_cegar': 232062394, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=53714s
[120/325] {'graphs': 120, 'dags': 772518248, 'profile_dags': 659704400, 'ss_skip': 425463662, 'packed_cegar': 234240738, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=54229s
[121/325] {'graphs': 121, 'dags': 779303284, 'profile_dags': 665479012, 'ss_skip': 429263660, 'packed_cegar': 236215352, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=54658s
[122/325] {'graphs': 122, 'dags': 786406060, 'profile_dags': 671475172, 'ss_skip': 433369704, 'packed_cegar': 238105468, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=55053s
[123/325] {'graphs': 123, 'dags': 793577560, 'profile_dags': 677519764, 'ss_skip': 437516788, 'packed_cegar': 240002976, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=55436s
[124/325] {'graphs': 124, 'dags': 800767912, 'profile_dags': 683568532, 'ss_skip': 441783206, 'packed_cegar': 241785326, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=55801s
