15	6	3	1	12	UNSAT-exhausted	0.3	
15	6	3	2	9	UNSAT-exhausted	0.2	
15	6	3	3	6	UNSAT-exhausted	0.3	
15	6	3	4	3	UNSAT-exhausted	0.4	
16	6	3	3	7	TIMEOUT	1800.1	
16	6	3	4	4	UNSAT-exhausted	0.5	
15	7	5	3	0	TIMEOUT	1800.1	
15	7	4	1	11	UNSAT-exhausted	3.1	
15	7	4	2	7	UNSAT-exhausted	31.7	
15	7	4	3	3	UNSAT-exhausted	3.8	
15	7	3	1	12	UNSAT-exhausted	3.1	
15	7	3	2	9	UNSAT-exhausted	3.1	
15	7	3	3	6	UNSAT-exhausted	3.3	
15	7	3	4	3	UNSAT-exhausted	4.0	
18	6	9	2	0	TIMEOUT	1800.1	
18	6	8	1	10	UNSAT-exhausted	0.7	
18	6	8	2	2	UNSAT-exhausted	1.2	
18	6	7	1	11	UNSAT-exhausted	0.7	
18	6	7	2	4	UNSAT-exhausted	1.0	
18	6	6	1	12	UNSAT-exhausted	0.7	
18	6	6	2	6	UNSAT-exhausted	0.8	
15	6	3	5	0	TIMEOUT	1800.1	
15	6	2	1	13	UNSAT-exhausted	0.3	
15	6	2	2	11	UNSAT-exhausted	0.2	
15	6	2	3	9	UNSAT-exhausted	0.2	
15	6	2	4	7	UNSAT-exhausted	0.3	
15	6	2	5	5	UNSAT-exhausted	0.2	
15	6	2	6	3	UNSAT-exhausted	0.3	
15	6	2	7	1	UNSAT-exhausted	78.5	
16	6	3	5	1	TIMEOUT	1800.2	
16	6	2	1	14	UNSAT-exhausted	0.5	
16	6	2	2	12	UNSAT-exhausted	0.3	
16	6	2	3	10	UNSAT-exhausted	0.5	
16	6	2	4	8	UNSAT-exhausted	0.4	
16	6	2	5	6	UNSAT-exhausted	0.3	
16	6	2	6	4	UNSAT-exhausted	0.4	
16	6	2	7	2	UNSAT-exhausted	0.5	
15	7	3	5	0	TIMEOUT	1800.2	
15	7	2	1	13	UNSAT-exhausted	3.8	
15	7	2	2	11	UNSAT-exhausted	3.3	
15	7	2	3	9	UNSAT-exhausted	3.4	
16	6	2	8	0	UNSAT-exhausted	356.7	
18	6	6	3	0	TIMEOUT	1800.1	
18	6	5	1	13	UNSAT-exhausted	0.6	
18	6	5	2	8	UNSAT-exhausted	2.1	
18	6	5	3	3	UNSAT-exhausted	1.1	
18	6	4	1	14	UNSAT-exhausted	0.7	
18	6	4	2	10	UNSAT-exhausted	0.6	
18	6	4	3	6	UNSAT-exhausted	0.8	
18	6	4	4	2	UNSAT-exhausted	1.1	
18	6	3	1	15	UNSAT-exhausted	0.8	
18	6	3	2	12	UNSAT-exhausted	0.7	
18	6	3	3	9	UNSAT-exhausted	795.6	
18	6	3	4	6	UNSAT-exhausted	1.2	
18	6	3	5	3	UNSAT-exhausted	1.5	
