# CW(120,49) C-driver: |Z_120^*|=32, 118 subgroups, max_orbits=64 signed=False case_timeout=3600s
  case |H|=8 r=27 chi#0: DONE nodes=22873808 leaves=2211516 wits=0 time=3.9
  case |H|=8 r=28 chi#0: DONE nodes=311620 leaves=12960 wits=0 time=0.0
  case |H|=8 r=26 chi#0: DONE nodes=1268927 leaves=17496 wits=0 time=0.1
  case |H|=8 r=23 chi#0: DONE nodes=900779 leaves=19656 wits=0 time=0.1
  case |H|=8 r=28 chi#0: DONE nodes=62730722 leaves=3729192 wits=0 time=7.4
  case |H|=8 r=26 chi#0: DONE nodes=15232 leaves=0 wits=0 time=0.0
  case |H|=8 r=26 chi#0: DONE nodes=1695973 leaves=34992 wits=0 time=0.1
  case |H|=8 r=24 chi#0: DONE nodes=1777849 leaves=60264 wits=0 time=0.1
  case |H|=8 r=28 chi#0: DONE nodes=104591761 leaves=4350024 wits=0 time=9.2
  case |H|=8 r=30 chi#0: DONE nodes=33883822 leaves=1303632 wits=0 time=2.9
  case |H|=8 r=23 chi#0: DONE nodes=475381 leaves=4860 wits=0 time=0.0
  case |H|=8 r=22 chi#0: DONE nodes=190689 leaves=4860 wits=0 time=0.0
  case |H|=8 r=28 chi#0: DONE nodes=62730722 leaves=3729192 wits=0 time=7.3
  EXCEEDED |H|=8 r=40 chi#0: EXCEEDED nodes=18465423360 leaves=2084983422 time=3600.1
  case |H|=8 r=27 chi#0: DONE nodes=22848374 leaves=2211516 wits=0 time=3.9
  case |H|=8 r=26 chi#0: DONE nodes=1258874 leaves=34992 wits=0 time=0.1
  case |H|=8 r=30 chi#0: DONE nodes=50105350 leaves=4602096 wits=0 time=8.1
  EXCEEDED |H|=4 r=35 chi#0: EXCEEDED nodes=36280729600 leaves=1857093582 time=3600.0
  EXCEEDED |H|=4 r=45 chi#0: EXCEEDED nodes=18640535552 leaves=2085443105 time=3600.2
  EXCEEDED |H|=4 r=42 chi#0: EXCEEDED nodes=54804873216 leaves=1331109258 time=3600.1
  EXCEEDED |H|=4 r=42 chi#0: EXCEEDED nodes=66184019968 leaves=1183991520 time=3600.0
  EXCEEDED |H|=4 r=60 chi#0: EXCEEDED nodes=50925142016 leaves=1483662252 time=3600.0
  EXCEEDED |H|=4 r=50 chi#0: EXCEEDED nodes=19161677824 leaves=2027713930 time=3600.1
  EXCEEDED |H|=4 r=48 chi#0: EXCEEDED nodes=51994689536 leaves=1090841804 time=3600.1
