[mdag n=6 M=15 6/0] checked=7200000 bytau=[(2, 4788277), (3, 1856117), (4, 444060), (5, 86687), (6, 17959), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=2058s
[mdag n=6 M=15 6/0] checked=7400000 bytau=[(2, 4915898), (3, 1915964), (4, 455532), (5, 87727), (6, 17979), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=2115s
[mdag n=6 M=15 6/0] checked=7600000 bytau=[(2, 5031103), (3, 1982591), (4, 472098), (5, 89298), (6, 18010), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=2161s
[mdag n=6 M=15 6/0] checked=7800000 bytau=[(2, 5150970), (3, 2047162), (4, 485985), (5, 90913), (6, 18070), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=2210s
[mdag n=6 M=15 6/0] checked=8000000 bytau=[(2, 5280386), (3, 2105866), (4, 496845), (5, 91895), (6, 18108), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=2266s
[mdag n=6 M=15 6/0] checked=8200000 bytau=[(2, 5414767), (3, 2162564), (4, 505255), (5, 92399), (6, 18115), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=2309s
[mdag n=6 M=15 6/0] checked=8400000 bytau=[(2, 5523812), (3, 2223486), (4, 523903), (5, 98476), (6, 21324), (7, 6605), (8, 1914), (9, 416), (10, 60), (11, 4)] t=2364s
[mdag n=6 M=15 6/0] checked=8600000 bytau=[(2, 5618802), (3, 2287549), (4, 553564), (5, 107995), (6, 22976), (7, 6713), (8, 1921), (9, 416), (10, 60), (11, 4)] t=2423s
[mdag n=6 M=15 6/0] checked=8800000 bytau=[(2, 5690760), (3, 2357959), (4, 590386), (5, 122261), (6, 27875), (7, 8055), (8, 2190), (9, 449), (10, 61), (11, 4)] t=2468s
[mdag n=6 M=15 6/0] checked=9000000 bytau=[(2, 5746844), (3, 2427619), (4, 639202), (5, 140760), (6, 33128), (7, 9424), (8, 2470), (9, 486), (10, 63), (11, 4)] t=2517s
[mdag n=6 M=15 6/0] checked=9200000 bytau=[(2, 5817494), (3, 2505920), (4, 678747), (5, 150823), (6, 34399), (7, 9568), (8, 2494), (9, 488), (10, 63), (11, 4)] t=2568s
[mdag n=6 M=15 6/0] checked=9400000 bytau=[(2, 5881794), (3, 2578677), (4, 719856), (5, 166209), (6, 39327), (7, 10833), (8, 2726), (9, 511), (10, 63), (11, 4)] t=2616s
[mdag n=6 M=15 6/0] checked=9600000 bytau=[(2, 5970137), (3, 2650352), (4, 749815), (5, 173569), (6, 41221), (7, 11440), (8, 2864), (9, 533), (10, 65), (11, 4)] t=2665s
[mdag n=6 M=15 6/0] checked=9800000 bytau=[(2, 6025086), (3, 2729963), (4, 796678), (5, 187803), (6, 44613), (7, 12241), (8, 3002), (9, 545), (10, 65), (11, 4)] t=2714s
[mdag n=6 M=15 6/0] checked=10000000 bytau=[(2, 6101033), (3, 2806326), (4, 832616), (5, 197139), (6, 46494), (7, 12687), (8, 3083), (9, 553), (10, 65), (11, 4)] t=2756s
[mdag n=6 M=15 6/0] checked=10200000 bytau=[(2, 6183533), (3, 2883020), (4, 864707), (5, 204230), (6, 47793), (7, 12966), (8, 3126), (9, 556), (10, 65), (11, 4)] t=2796s
[mdag n=6 M=15 6/0] checked=10400000 bytau=[(2, 6283807), (3, 2952626), (4, 889327), (5, 208924), (6, 48466), (7, 13086), (8, 3139), (9, 556), (10, 65), (11, 4)] t=2834s
[mdag n=6 M=15 6/0] checked=10600000 bytau=[(2, 6373264), (3, 3033060), (4, 916250), (5, 212041), (6, 48535), (7, 13086), (8, 3139), (9, 556), (10, 65), (11, 4)] t=2892s
[mdag n=6 M=15 6/0] checked=10800000 bytau=[(2, 6461313), (3, 3115033), (4, 943202), (5, 214991), (6, 48611), (7, 13086), (8, 3139), (9, 556), (10, 65), (11, 4)] t=2943s
[mdag n=6 M=15 6/0] checked=11000000 bytau=[(2, 6550349), (3, 3194871), (4, 971113), (5, 218145), (6, 48672), (7, 13086), (8, 3139), (9, 556), (10, 65), (11, 4)] t=2983s
[mdag n=6 M=15 6/0] checked=11200000 bytau=[(2, 6647779), (3, 3271148), (4, 994846), (5, 220654), (6, 48723), (7, 13086), (8, 3139), (9, 556), (10, 65), (11, 4)] t=3026s
[mdag n=6 M=15 6/0] checked=11400000 bytau=[(2, 6750125), (3, 3348243), (4, 1013681), (5, 222336), (6, 48765), (7, 13086), (8, 3139), (9, 556), (10, 65), (11, 4)] t=3065s
[mdag n=6 M=15 6/0] checked=11600000 bytau=[(2, 6859301), (3, 3419147), (4, 1031869), (5, 224049), (6, 48784), (7, 13086), (8, 3139), (9, 556), (10, 65), (11, 4)] t=3115s
[mdag n=6 M=15 6/0] checked=11800000 bytau=[(2, 6934860), (3, 3485722), (4, 1068237), (5, 239000), (6, 53976), (7, 14266), (8, 3303), (9, 567), (10, 65), (11, 4)] t=3160s
[mdag n=6 M=15 6/0] checked=12000000 bytau=[(2, 6983282), (3, 3552318), (4, 1121967), (5, 263001), (6, 59935), (7, 15398), (8, 3454), (9, 576), (10, 65), (11, 4)] t=3217s
[mdag n=6 M=15 6/0] checked=12200000 bytau=[(2, 7021331), (3, 3621497), (4, 1180116), (5, 288775), (6, 67198), (7, 16808), (8, 3622), (9, 584), (10, 65), (11, 4)] t=3269s
