[dagrand seed=22] checked=840000 bytau=[(2, 219771), (3, 157276), (4, 120054), (5, 79786), (6, 63477), (7, 50260), (8, 39349), (9, 30489), (10, 23828), (11, 18182), (12, 13407), (13, 9477), (14, 6206), (15, 3825), (16, 2324), (17, 1217), (18, 648), (19, 256), (20, 123), (21, 32), (22, 8), (23, 3), (24, 2)] t=1913s
[dagrand seed=22] checked=860000 bytau=[(2, 224944), (3, 161023), (4, 122885), (5, 81737), (6, 64948), (7, 51560), (8, 40223), (9, 31245), (10, 24385), (11, 18626), (12, 13721), (13, 9708), (14, 6344), (15, 3924), (16, 2382), (17, 1246), (18, 664), (19, 260), (20, 128), (21, 33), (22, 9), (23, 3), (24, 2)] t=1953s
[dagrand seed=22] checked=880000 bytau=[(2, 230113), (3, 164713), (4, 125764), (5, 83624), (6, 66461), (7, 52766), (8, 41183), (9, 31991), (10, 24986), (11, 19055), (12, 14048), (13, 9947), (14, 6470), (15, 4031), (16, 2445), (17, 1288), (18, 672), (19, 265), (20, 130), (21, 34), (22, 9), (23, 3), (24, 2)] t=1993s
[dagrand seed=22] checked=900000 bytau=[(2, 235367), (3, 168395), (4, 128555), (5, 85524), (6, 67951), (7, 53989), (8, 42152), (9, 32723), (10, 25612), (11, 19476), (12, 14362), (13, 10176), (14, 6620), (15, 4137), (16, 2492), (17, 1320), (18, 698), (19, 273), (20, 130), (21, 34), (22, 9), (23, 3), (24, 2)] t=2034s
[dagrand seed=22] checked=920000 bytau=[(2, 240637), (3, 172157), (4, 131391), (5, 87442), (6, 69385), (7, 55203), (8, 43071), (9, 33472), (10, 26154), (11, 19920), (12, 14689), (13, 10408), (14, 6758), (15, 4239), (16, 2560), (17, 1344), (18, 706), (19, 280), (20, 132), (21, 37), (22, 9), (23, 4), (24, 2)] t=2073s
[dagrand seed=22] checked=940000 bytau=[(2, 245812), (3, 176018), (4, 134218), (5, 89252), (6, 70979), (7, 56369), (8, 44012), (9, 34185), (10, 26725), (11, 20366), (12, 15012), (13, 10632), (14, 6916), (15, 4338), (16, 2600), (17, 1373), (18, 720), (19, 283), (20, 138), (21, 37), (22, 9), (23, 4), (24, 2)] t=2111s
[dagrand seed=22] checked=960000 bytau=[(2, 251023), (3, 179822), (4, 137070), (5, 91106), (6, 72478), (7, 57560), (8, 44947), (9, 34911), (10, 27290), (11, 20821), (12, 15344), (13, 10850), (14, 7065), (15, 4431), (16, 2648), (17, 1419), (18, 734), (19, 287), (20, 142), (21, 37), (22, 9), (23, 4), (24, 2)] t=2150s
[dagrand seed=22] checked=980000 bytau=[(2, 256277), (3, 183637), (4, 139919), (5, 93040), (6, 73881), (7, 58746), (8, 45867), (9, 35661), (10, 27849), (11, 21247), (12, 15657), (13, 11081), (14, 7202), (15, 4551), (16, 2698), (17, 1440), (18, 753), (19, 295), (20, 145), (21, 38), (22, 10), (23, 4), (24, 2)] t=2198s
[dagrand seed=22] checked=1000000 bytau=[(2, 261607), (3, 187250), (4, 142815), (5, 94927), (6, 75342), (7, 59954), (8, 46816), (9, 36397), (10, 28434), (11, 21663), (12, 15982), (13, 11305), (14, 7359), (15, 4658), (16, 2749), (17, 1472), (18, 768), (19, 299), (20, 148), (21, 39), (22, 10), (23, 4), (24, 2)] t=2263s
[dagrand seed=22] checked=1020000 bytau=[(2, 266873), (3, 191020), (4, 145644), (5, 96870), (6, 76810), (7, 61133), (8, 47763), (9, 37130), (10, 29011), (11, 22062), (12, 16286), (13, 11523), (14, 7533), (15, 4744), (16, 2810), (17, 1499), (18, 779), (19, 304), (20, 151), (21, 39), (22, 10), (23, 4), (24, 2)] t=2317s
[dagrand seed=22] checked=1040000 bytau=[(2, 272051), (3, 194867), (4, 148475), (5, 98826), (6, 78328), (7, 62312), (8, 48732), (9, 37806), (10, 29556), (11, 22506), (12, 16583), (13, 11735), (14, 7681), (15, 4843), (16, 2862), (17, 1521), (18, 798), (19, 310), (20, 153), (21, 39), (22, 10), (23, 4), (24, 2)] t=2371s
[dagrand seed=22] checked=1060000 bytau=[(2, 277276), (3, 198613), (4, 151302), (5, 100696), (6, 79882), (7, 63487), (8, 49697), (9, 38519), (10, 30151), (11, 22940), (12, 16897), (13, 11959), (14, 7825), (15, 4956), (16, 2910), (17, 1545), (18, 820), (19, 313), (20, 156), (21, 40), (22, 10), (23, 4), (24, 2)] t=2437s
