[dagrand seed=52] checked=880000 bytau=[(2, 446913), (3, 234196), (4, 113565), (5, 50173), (6, 20958), (7, 8550), (8, 3484), (9, 1273), (10, 521), (11, 187), (12, 97), (13, 45), (14, 21), (15, 10), (16, 5), (17, 1), (19, 1)] t=900s
[dagrand seed=52] checked=900000 bytau=[(2, 457025), (3, 239593), (4, 116128), (5, 51323), (6, 21427), (7, 8736), (8, 3560), (9, 1298), (10, 533), (11, 192), (12, 100), (13, 46), (14, 21), (15, 11), (16, 5), (17, 1), (19, 1)] t=915s
[dagrand seed=52] checked=920000 bytau=[(2, 467065), (3, 244901), (4, 118798), (5, 52450), (6, 21913), (7, 8980), (8, 3636), (9, 1329), (10, 545), (11, 194), (12, 103), (13, 47), (14, 21), (15, 11), (16, 5), (17, 1), (19, 1)] t=930s
[dagrand seed=52] checked=940000 bytau=[(2, 477260), (3, 250249), (4, 121322), (5, 53564), (6, 22400), (7, 9186), (8, 3707), (9, 1364), (10, 558), (11, 198), (12, 103), (13, 49), (14, 22), (15, 11), (16, 5), (17, 1), (19, 1)] t=945s
[dagrand seed=52] checked=960000 bytau=[(2, 487386), (3, 255593), (4, 123940), (5, 54697), (6, 22861), (7, 9386), (8, 3776), (9, 1396), (10, 566), (11, 205), (12, 105), (13, 49), (14, 22), (15, 11), (16, 5), (17, 1), (19, 1)] t=959s
[dagrand seed=52] checked=980000 bytau=[(2, 497523), (3, 260945), (4, 126509), (5, 55841), (6, 23341), (7, 9591), (8, 3845), (9, 1418), (10, 577), (11, 213), (12, 106), (13, 49), (14, 24), (15, 11), (16, 5), (17, 1), (19, 1)] t=974s
[dagrand seed=52] checked=1000000 bytau=[(2, 507630), (3, 266329), (4, 129088), (5, 56931), (6, 23857), (7, 9792), (8, 3927), (9, 1437), (10, 590), (11, 217), (12, 107), (13, 50), (14, 26), (15, 12), (16, 5), (17, 1), (19, 1)] t=989s
[dagrand seed=52] checked=1020000 bytau=[(2, 517771), (3, 271591), (4, 131769), (5, 58085), (6, 24310), (7, 9980), (8, 4000), (9, 1472), (10, 599), (11, 219), (12, 107), (13, 51), (14, 27), (15, 12), (16, 5), (17, 1), (19, 1)] t=1004s
[dagrand seed=52] checked=1040000 bytau=[(2, 527994), (3, 276776), (4, 134404), (5, 59244), (6, 24783), (7, 10164), (8, 4087), (9, 1502), (10, 615), (11, 224), (12, 108), (13, 53), (14, 27), (15, 12), (16, 5), (17, 1), (19, 1)] t=1019s
[dagrand seed=52] checked=1060000 bytau=[(2, 538194), (3, 282020), (4, 137008), (5, 60415), (6, 25267), (7, 10347), (8, 4156), (9, 1527), (10, 628), (11, 228), (12, 110), (13, 53), (14, 27), (15, 12), (16, 6), (17, 1), (19, 1)] t=1034s
[dagrand seed=52] checked=1080000 bytau=[(2, 548305), (3, 287313), (4, 139629), (5, 61604), (6, 25741), (7, 10546), (8, 4230), (9, 1552), (10, 634), (11, 234), (12, 110), (13, 53), (14, 27), (15, 14), (16, 6), (17, 1), (19, 1)] t=1048s
