g6	n	Delta	delta	maxm	minm	alo	ahi	nok	interval	L
GQhTVO	8	4	2	4.0	2.5	0.355	0.835	97	1	7.819507424745385
GQhTUg	8	4	3	3.3333333333333335	3.25	0.41000000000000003	1.0	119	1	7.349334969450372
GQhTVo	8	5	2	4.0	3.0	0.275	1.0	146	1	8.625310320438224
GQhTVg	8	5	3	3.75	3.4	0.305	1.0	140	1	8.422207972711195
GQhTVS	8	5	2	4.25	2.5	0.225	1.0	156	1	8.80062108964828
GQhTVw	8	6	3	4.25	3.5	0.17	1.0	167	1	9.645365452561819
GQhTVs	8	6	2	4.5	3.0	0.12	1.0	177	1	9.80894306783797
GQhTV{	8	7	3	4.75	3.5714285714285716	0.02	1.0	197	1	10.953384283540798
GQhVf_	8	4	2	4.0	3.5	0.35000000000000003	0.665	64	1	7.819507424745385
GQhVeo	8	4	2	4.0	3.5	0.365	0.635	55	1	7.717486788127612
GQhVfo	8	5	2	4.333333333333333	3.75	0.265	0.79	106	1	8.706292490963914
GQhVfW	8	5	3	4.333333333333333	3.6	0.275	1.0	146	1	8.625310320438224
GQhVfc	8	5	2	4.2	4.0	0.29	0.905	124	1	9.508725083591248
GQhVes	8	5	2	4.0	4.0	0.305	0.875	115	1	9.348469228349535
GQhVe[	8	5	3	4.0	3.8	0.32	1.0	137	1	9.167176644441769
GQhVfw	8	6	3	4.666666666666667	3.6666666666666665	0.155	1.0	170	1	9.713283142871475
GQhVfs	8	6	2	4.666666666666667	4.0	0.255	0.965	143	1	10.298020417975776
GQhVf[	8	6	3	4.666666666666667	3.8333333333333335	0.27	1.0	147	1	10.139346574240568
GQhVf{	8	7	3	5.0	3.857142857142857	0.195	1.0	162	1	11.261953561953536
GQhVV_	8	4	2	4.0	3.25	0.355	0.835	97	1	7.819507424745385
GQhVUg	8	4	3	3.6666666666666665	3.5	0.38	1.0	125	1	7.606119105813881
GQhVVo	8	5	2	4.25	3.5	0.225	1.0	156	1	8.80062108964828
GQhVVg	8	5	3	4.0	3.6	0.275	1.0	146	1	8.625310320438224
GQhVTw	8	5	3	4.25	3.3333333333333335	0.24	1.0	153	1	8.725746708716358
GQhVVc	8	5	2	4.333333333333333	3.5	0.305	1.0	140	1	9.348469228349535
GQhVVS	8	5	2	4.5	3.0	0.29	1.0	143	1	9.508725083591248
GQhVTs	8	5	2	4.5	3.0	0.305	1.0	140	1	9.348469228349535
GQhVUk	8	5	3	4.0	3.8	0.32	1.0	137	1	9.167176644441769
GQhVTk	8	5	3	4.333333333333333	3.6666666666666665	0.32	1.0	137	1	9.167176644441769
GQhVVw	8	6	3	4.5	3.6666666666666665	0.12	1.0	177	1	9.80894306783797
GQhVVs	8	6	2	4.75	3.5	0.255	1.0	150	1	10.298020417975776
GQhVVk	8	6	3	4.5	3.8333333333333335	0.27	1.0	147	1	10.139346574240568
GQhVT{	8	6	3	4.75	3.6666666666666665	0.27	1.0	147	1	10.139346574240568
GQhVV{	8	7	3	5.0	3.857142857142857	0.195	1.0	162	1	11.261953561953536
GQhVvo	8	5	2	4.5	4.0	0.115	0.795	137	1	8.953627914727
GQhVvg	8	5	3	4.333333333333333	3.8	0.225	0.875	131	1	8.80062108964828
GQhVvW	8	5	3	4.5	3.8	0.17	0.89	145	1	8.888089948057452
GQhVvw	8	6	3	4.75	3.8333333333333335	0.04	0.96	185	1	9.95374980259815
GQhVvs	8	6	2	5.0	4.0	0.26	1.0	149	1	11.029864978971808
GQhVvk	8	6	3	4.75	4.166666666666667	0.27	1.0	147	1	10.881441324469808
GQhVv[	8	6	3	5.0	4.166666666666667	0.27	1.0	147	1	10.881441324469808
