== n9_sumfails.txt
GCOfBc  c in [-2.0000, -0.6667] ok=True R=22.000
I?`@dcyz?  c in [-2.7633, 5.0606] ok=True R=35.875
I?bFEj[^O  c in [-3.4538, 4.7895] ok=True R=63.920
I?`aj`fro  c in [-2.7673, 2.7006] ok=True R=63.920
I?`anbF^_  c in [-3.5192, 4.7895] ok=True R=63.920
I?`an`fv_  c in [-3.3526, 5.2829] ok=True R=63.920
I?`anJU]o  c in [-3.4974, 5.1184] ok=True R=63.920
I?`anHuuo  c in [-3.2858, 5.6118] ok=True R=63.920
I?`anJR^_  c in [-3.5192, 4.7895] ok=True R=63.920
I?`anHrv_  c in [-3.3081, 5.2829] ok=True R=63.920
I?`amhuyo  c in [-3.2858, 5.6118] ok=True R=63.920
I?`amjb^_  c in [-3.5192, 4.7895] ok=True R=63.920
I?`amhrz_  c in [-3.3081, 5.2829] ok=True R=63.920
I?`ajjeuo  c in [-3.3081, 5.6118] ok=True R=63.920
I?`ajjUyo  c in [-3.3081, 5.6118] ok=True R=63.920
I?`ajhuyo  c in [-2.8059, 4.7895] ok=True R=63.920
I?`ajjF}_  c in [-3.3526, 14.9804] ok=True R=63.920
I?`amNs]o  c in [-3.4974, 4.7895] ok=True R=63.920
I?`anjM}_  c in [-4.0379, 5.4474] ok=True R=63.920
I?`anN[}_  c in [-4.0379, 5.4474] ok=True R=63.920
I?`anL{}_  c in [-3.9430, 5.4474] ok=True R=63.920
I?`anNY~?  c in [-3.9263, 5.4474] ok=True R=63.920
I?`ajnk}_  c in [-3.8705, 5.4474] ok=True R=63.920
ICrbUvZ~_  c in [-4.2641, 3.0123] ok=True R=99.944
I?`bBhuzO  c in [-2.7673, 2.2768] ok=True R=63.920
I?`bBht~?  c in [-2.7961, 3.2458] ok=True R=61.840
I?`bBht|_  c in [-2.3785, 4.4605] ok=True R=63.920
I?`bBhtz_  c in [-2.8444, 8.6850] ok=True R=63.920
I?`bFjs^_  c in [-3.5192, 4.7895] ok=True R=63.920
I?`bBns~?  c in [-3.3081, 5.2829] ok=True R=63.920
I?`uRjF}_  c in [-4.1992, 5.6118] ok=True R=63.920
I?BFEz[~?  c in [-3.3885, 4.7895] ok=True R=63.920
I?bDtqy^O  c in [-3.2636, 4.7895] ok=True R=63.920
I?bDtrM^O  c in [-4.2683, 5.7763] ok=True R=63.920
I?`bfHl~?  c in [-3.3885, 4.7895] ok=True R=63.920
I?`behfv_  c in [-3.3081, 5.6118] ok=True R=63.920
I?`bbjd~?  c in [-3.2636, 4.9539] ok=True R=63.920
I?`bbht~?  c in [-2.8059, 4.4605] ok=True R=63.920
I?`beLuvO  c in [-3.2413, 5.2829] ok=True R=63.920
I?`beNT^_  c in [-3.4756, 5.1184] ok=True R=63.920
I?`beLtv_  c in [-3.2636, 5.6118] ok=True R=63.920
I?`benM~?  c in [-4.0379, 5.4474] ok=True R=63.920
I?`bel]~?  c in [-3.8903, 5.4474] ok=True R=63.920
ICQudnn~_  c in [-3.9281, 2.3497] ok=True R=99.944
ICpeuvm~O  c in [-4.3475, 2.6810] ok=True R=99.944
ICpeu^y~O  c in [-4.2808, 2.6810] ok=True R=99.944
ICpeu^x~_  c in [-4.2975, 2.6810] ok=True R=99.944
ICpVVVy~O  c in [-4.2808, 2.7914] ok=True R=99.944
I?BDnZ[}_  c in [-4.8876, 5.7763] ok=True R=63.920
I?BDnU{~?  c in [-4.2054, 5.4474] ok=True R=63.920
I?BDlvk~?  c in [-4.2054, 5.4474] ok=True R=63.920
I?BDl^w~?  c in [-4.2054, 5.4474] ok=True R=63.920
I?`Dd_yZO  c in [-2.6860, 1.7317] ok=True R=35.875
I?`D`qqZO  c in [-2.6860, 1.7317] ok=True R=35.875
I?bETu{^_  c in [-4.2683, 5.4474] ok=True R=63.920
I?`rb`u~?  c in [-2.7673, 2.2768] ok=True R=63.920
I?`bmhu}O  c in [-3.2636, 4.9539] ok=True R=63.920
I?`bmhl}_  c in [-3.9167, 5.6118] ok=True R=63.920
I?`bjjU}O  c in [-3.2858, 4.7895] ok=True R=63.920
I?`bjjM}O  c in [-3.9430, 5.6118] ok=True R=63.920
I?`bmXu}O  c in [-3.8903, 5.7763] ok=True R=63.920
ICQ`fJdn_  c in [-3.4321, 4.7895] ok=True R=63.920
ICQ`fItz_  c in [-3.2636, 4.9539] ok=True R=63.920
ICQ`fIl~?  c in [-3.3667, 2.7006] ok=True R=63.920
ICQ`fIl|_  c in [-3.4103, 2.5593] ok=True R=63.920
ICXb^Pn}o  c in [-3.2808, 2.0184] ok=True R=99.944
ICXbZZm~_  c in [-3.2937, 1.9080] ok=True R=99.944
I?BFLz[}_  c in [-4.4588, 5.6118] ok=True R=63.920
I?bBbjF^_  c in [-3.4103, 5.1184] ok=True R=63.920
I?bBeZd~?  c in [-3.7896, 4.4605] ok=True R=63.920
I?bBeLu^O  c in [-3.3885, 4.7895] ok=True R=63.920
I?bBbNT^_  c in [-3.4538, 5.1184] ok=True R=63.920
I?bBbLtv_  c in [-3.2413, 5.6118] ok=True R=63.920
I?bBbLV~?  c in [-3.3304, 14.9804] ok=True R=63.920
I?bBblu~?  c in [-3.2413, 4.7895] ok=True R=63.920
I?bBblm~?  c in [-3.8376, 5.4474] ok=True R=63.920
I?bLVa]^_  c in [-4.4059, 1.7119] ok=True R=63.920
I?r@fRhv_  c in [-3.6786, 4.9539] ok=True R=63.920
I?r@fRL}_  c in [-3.6573, 5.2829] ok=True R=63.920
I?r@fRJ~?  c in [-3.7589, 4.4605] ok=True R=63.920
I?revrZ~_  c in [-4.2808, 2.6810] ok=True R=99.944
