[n=13 it=6 t=0s] min-decomp=5 (bound 6) m=50
[n=13 it=44200 t=3374s] cur=5 best=5 m=48 cache=31194
[n=13 it=44600 t=3392s] cur=4 best=5 m=44 cache=31480
[n=13 it=44800 t=3400s] cur=5 best=5 m=46 cache=31609
[n=13 it=45000 t=3410s] cur=5 best=5 m=46 cache=31762
[n=13 it=45200 t=3419s] cur=5 best=5 m=52 cache=31906
[n=13 it=46600 t=3484s] cur=5 best=5 m=46 cache=32907
[n=13 it=46800 t=3494s] cur=5 best=5 m=45 cache=33062
[n=13 it=47000 t=3502s] cur=4 best=5 m=44 cache=33196
[n=13 it=47600 t=3530s] cur=5 best=5 m=50 cache=33622
[n=13 it=48000 t=3544s] cur=5 best=5 m=46 cache=33880
[n=13 it=48200 t=3554s] cur=5 best=5 m=48 cache=34018
[n=13 it=48400 t=3565s] cur=5 best=5 m=49 cache=34165
[n=13 it=48600 t=3573s] cur=4 best=5 m=49 cache=34299
[n=13 it=48800 t=3583s] cur=5 best=5 m=45 cache=34442
[n=13 it=49000 t=3591s] cur=5 best=5 m=45 cache=34581
[n=13 it=49200 t=3600s] cur=5 best=5 m=49 cache=34724
[n=13 it=49600 t=3619s] cur=5 best=5 m=50 cache=35027
[n=13 it=50000 t=3637s] cur=5 best=5 m=44 cache=35313
[n=13 it=50200 t=3647s] cur=5 best=5 m=48 cache=35462
[n=13 it=50600 t=3665s] cur=4 best=5 m=48 cache=35752
[n=13 it=50800 t=3674s] cur=5 best=5 m=49 cache=35888
[n=13 it=51000 t=3683s] cur=5 best=5 m=42 cache=36023
[n=13 it=51200 t=3691s] cur=5 best=5 m=47 cache=36157
[n=13 it=51400 t=3701s] cur=5 best=5 m=49 cache=36293
[n=13 it=51600 t=3708s] cur=4 best=5 m=46 cache=36430
[n=13 it=52000 t=3728s] cur=5 best=5 m=49 cache=36717
[n=13 it=52400 t=3772s] cur=5 best=5 m=51 cache=37003
[n=13 it=52600 t=3795s] cur=5 best=5 m=48 cache=37152
[n=13 it=52800 t=3818s] cur=5 best=5 m=48 cache=37295
[n=13 it=53000 t=3842s] cur=5 best=5 m=47 cache=37446
[n=13 it=53200 t=3863s] cur=5 best=5 m=49 cache=37586
[n=13 it=53400 t=3883s] cur=5 best=5 m=47 cache=37719
[n=13 it=53600 t=3902s] cur=5 best=5 m=45 cache=37859
[n=13 it=54000 t=3942s] cur=4 best=5 m=48 cache=38134
[n=13 it=54200 t=3963s] cur=5 best=5 m=48 cache=38277
[n=13 it=54600 t=4003s] cur=5 best=5 m=48 cache=38541
[n=13 it=55000 t=4044s] cur=5 best=5 m=52 cache=38812
[n=13 it=55400 t=4089s] cur=5 best=5 m=50 cache=39103
[n=13 it=55600 t=4108s] cur=5 best=5 m=51 cache=39235
[n=13 it=56200 t=4168s] cur=4 best=5 m=46 cache=39642
[n=13 it=56600 t=4215s] cur=5 best=5 m=49 cache=39933
[n=13 it=56800 t=4236s] cur=5 best=5 m=45 cache=40089
[n=13 it=57000 t=4256s] cur=5 best=5 m=45 cache=40217
[n=13 it=57200 t=4279s] cur=5 best=5 m=46 cache=40371
