[n=13 it=1 t=0s] min-decomp=5 (bound 6) m=53
[n=13 it=71200 t=4725s] cur=5 best=5 m=52 cache=50669
[n=13 it=71800 t=4754s] cur=5 best=5 m=46 cache=51085
[n=13 it=72000 t=4763s] cur=5 best=5 m=47 cache=51222
[n=13 it=72200 t=4773s] cur=5 best=5 m=48 cache=51361
[n=13 it=72400 t=4782s] cur=5 best=5 m=46 cache=51499
[n=13 it=72600 t=4792s] cur=5 best=5 m=48 cache=51633
[n=13 it=72800 t=4800s] cur=5 best=5 m=50 cache=51767
[n=13 it=73000 t=4810s] cur=5 best=5 m=46 cache=51917
[n=13 it=73400 t=4830s] cur=5 best=5 m=48 cache=52223
[n=13 it=73800 t=4849s] cur=5 best=5 m=47 cache=52506
[n=13 it=74000 t=4859s] cur=5 best=5 m=49 cache=52658
[n=13 it=74200 t=4871s] cur=5 best=5 m=46 cache=52811
[n=13 it=75000 t=4909s] cur=5 best=5 m=46 cache=53368
[n=13 it=75200 t=4920s] cur=5 best=5 m=46 cache=53523
[n=13 it=75600 t=4939s] cur=5 best=5 m=50 cache=53805
[n=13 it=75800 t=4951s] cur=5 best=5 m=49 cache=53960
[n=13 it=76000 t=4960s] cur=5 best=5 m=53 cache=54100
[n=13 it=76400 t=4979s] cur=5 best=5 m=44 cache=54378
[n=13 it=77000 t=5009s] cur=5 best=5 m=49 cache=54793
[n=13 it=77200 t=5021s] cur=5 best=5 m=52 cache=54945
[n=13 it=77600 t=5043s] cur=5 best=5 m=51 cache=55248
[n=13 it=77800 t=5054s] cur=5 best=5 m=44 cache=55396
[n=13 it=78000 t=5065s] cur=5 best=5 m=46 cache=55554
[n=13 it=78400 t=5084s] cur=5 best=5 m=49 cache=55836
[n=13 it=78600 t=5094s] cur=5 best=5 m=47 cache=55975
[n=13 it=78800 t=5104s] cur=5 best=5 m=49 cache=56118
[n=13 it=79000 t=5115s] cur=5 best=5 m=49 cache=56257
[n=13 it=79200 t=5125s] cur=5 best=5 m=44 cache=56389
[n=13 it=80000 t=5164s] cur=5 best=5 m=50 cache=56947
[n=13 it=80200 t=5175s] cur=5 best=5 m=49 cache=57086
[n=13 it=80400 t=5185s] cur=5 best=5 m=47 cache=57225
[n=13 it=80800 t=5205s] cur=5 best=5 m=46 cache=57509
