it=28000 cur=1 best=1 T=1.53 elapsed=16s
it=28200 cur=1 best=1 T=1.53 elapsed=16s
it=28400 cur=1 best=1 T=1.53 elapsed=17s
it=28600 cur=1 best=1 T=1.52 elapsed=17s
it=28800 cur=1 best=1 T=1.52 elapsed=17s
it=29000 cur=1 best=1 T=1.52 elapsed=17s
it=29200 cur=1 best=1 T=1.51 elapsed=17s
it=29400 cur=1 best=1 T=1.51 elapsed=17s
it=29600 cur=1 best=1 T=1.51 elapsed=17s
it=29800 cur=1 best=1 T=1.50 elapsed=17s
it=30000 cur=1 best=1 T=1.50 elapsed=17s
it=30200 cur=1 best=1 T=1.50 elapsed=18s
it=30400 cur=1 best=1 T=1.49 elapsed=18s
it=30600 cur=1 best=1 T=1.49 elapsed=18s
it=30800 cur=1 best=1 T=1.49 elapsed=18s
it=31000 cur=1 best=1 T=1.48 elapsed=18s
it=31200 cur=1 best=1 T=1.48 elapsed=18s
it=31400 cur=1 best=1 T=1.48 elapsed=18s
it=31600 cur=1 best=1 T=1.47 elapsed=18s
it=31800 cur=1 best=1 T=1.47 elapsed=18s
it=32000 cur=1 best=1 T=1.47 elapsed=19s
it=32200 cur=1 best=1 T=1.46 elapsed=19s
it=32400 cur=1 best=1 T=1.46 elapsed=19s
it=32600 cur=1 best=1 T=1.46 elapsed=19s
it=32800 cur=1 best=1 T=1.45 elapsed=19s
it=33000 cur=1 best=1 T=1.45 elapsed=19s
it=33200 cur=1 best=1 T=1.45 elapsed=19s
it=33400 cur=1 best=1 T=1.44 elapsed=19s
it=33600 cur=1 best=1 T=1.44 elapsed=19s
it=33800 cur=1 best=1 T=1.44 elapsed=19s
it=34000 cur=1 best=1 T=1.43 elapsed=20s
it=34200 cur=1 best=1 T=1.43 elapsed=20s
it=34400 cur=1 best=1 T=1.43 elapsed=20s
it=34600 cur=1 best=1 T=1.42 elapsed=20s
it=34800 cur=1 best=1 T=1.42 elapsed=20s
it=35000 cur=1 best=1 T=1.42 elapsed=20s
it=35200 cur=1 best=1 T=1.41 elapsed=20s
it=35400 cur=1 best=1 T=1.41 elapsed=20s
it=35600 cur=1 best=1 T=1.41 elapsed=20s
it=35800 cur=1 best=1 T=1.40 elapsed=21s
it=36000 cur=1 best=1 T=1.40 elapsed=21s
it=36200 cur=1 best=1 T=1.40 elapsed=21s
it=36400 cur=1 best=1 T=1.39 elapsed=21s
it=36600 cur=1 best=1 T=1.39 elapsed=21s
it=36800 cur=1 best=1 T=1.39 elapsed=21s
it=37000 cur=1 best=1 T=1.38 elapsed=21s
it=37200 cur=1 best=1 T=1.38 elapsed=21s
it=37400 cur=1 best=1 T=1.38 elapsed=21s
it=37600 cur=1 best=1 T=1.37 elapsed=21s
it=37800 cur=1 best=1 T=1.37 elapsed=22s
it=38000 cur=1 best=1 T=1.37 elapsed=22s
it=38200 cur=1 best=1 T=1.36 elapsed=22s
it=38400 cur=1 best=1 T=1.36 elapsed=22s
it=38600 cur=1 best=1 T=1.36 elapsed=22s
it=38800 cur=1 best=1 T=1.35 elapsed=22s
it=39000 cur=1 best=1 T=1.35 elapsed=22s
it=39200 cur=1 best=1 T=1.35 elapsed=22s
it=39400 cur=1 best=1 T=1.34 elapsed=22s
it=39600 cur=1 best=1 T=1.34 elapsed=23s
it=39800 cur=1 best=1 T=1.34 elapsed=23s
it=40000 cur=1 best=1 T=1.33 elapsed=23s
it=40200 cur=1 best=1 T=1.33 elapsed=23s
it=40400 cur=1 best=1 T=1.33 elapsed=23s
it=40600 cur=1 best=1 T=1.32 elapsed=23s
it=40800 cur=1 best=1 T=1.32 elapsed=23s
it=41000 cur=1 best=1 T=1.32 elapsed=23s
it=41200 cur=1 best=1 T=1.31 elapsed=23s
it=41400 cur=1 best=1 T=1.31 elapsed=24s
it=41600 cur=1 best=1 T=1.31 elapsed=24s
it=41800 cur=1 best=1 T=1.30 elapsed=24s
it=42000 cur=1 best=1 T=1.30 elapsed=24s
it=42200 cur=1 best=1 T=1.30 elapsed=24s
it=42400 cur=1 best=1 T=1.29 elapsed=24s
it=42600 cur=1 best=1 T=1.29 elapsed=24s
it=42800 cur=1 best=1 T=1.29 elapsed=24s
it=43000 cur=1 best=1 T=1.28 elapsed=24s
it=43200 cur=1 best=1 T=1.28 elapsed=24s
it=43400 cur=1 best=1 T=1.28 elapsed=25s
it=43600 cur=1 best=1 T=1.27 elapsed=25s
it=43800 cur=1 best=1 T=1.27 elapsed=25s
it=44000 cur=1 best=1 T=1.27 elapsed=25s
it=44200 cur=1 best=1 T=1.26 elapsed=25s
it=44400 cur=1 best=1 T=1.26 elapsed=25s
it=44600 cur=1 best=1 T=1.26 elapsed=25s
it=44800 cur=1 best=1 T=1.25 elapsed=25s
it=45000 cur=1 best=1 T=1.25 elapsed=25s
it=45200 cur=1 best=1 T=1.25 elapsed=25s
it=45400 cur=1 best=1 T=1.24 elapsed=26s
it=45600 cur=1 best=1 T=1.24 elapsed=26s
it=45800 cur=1 best=1 T=1.24 elapsed=26s
it=46000 cur=1 best=1 T=1.23 elapsed=26s
it=46200 cur=1 best=1 T=1.23 elapsed=26s
it=46400 cur=1 best=1 T=1.23 elapsed=26s
it=46600 cur=1 best=1 T=1.22 elapsed=26s
it=46800 cur=1 best=1 T=1.22 elapsed=26s
it=47000 cur=1 best=1 T=1.22 elapsed=26s
it=47200 cur=1 best=1 T=1.21 elapsed=26s
it=47400 cur=1 best=1 T=1.21 elapsed=27s
it=47600 cur=1 best=1 T=1.21 elapsed=27s
it=47800 cur=1 best=1 T=1.20 elapsed=27s
it=48000 cur=1 best=1 T=1.20 elapsed=27s
it=48200 cur=1 best=1 T=1.20 elapsed=27s
it=48400 cur=1 best=1 T=1.19 elapsed=27s
it=48600 cur=1 best=1 T=1.19 elapsed=27s
it=48800 cur=1 best=1 T=1.19 elapsed=27s
it=49000 cur=1 best=1 T=1.18 elapsed=27s
it=49200 cur=1 best=1 T=1.18 elapsed=27s
it=49400 cur=1 best=1 T=1.18 elapsed=28s
it=49600 cur=1 best=1 T=1.17 elapsed=28s
it=49800 cur=1 best=1 T=1.17 elapsed=28s
it=50000 cur=1 best=1 T=1.17 elapsed=28s
it=50200 cur=1 best=1 T=1.16 elapsed=28s
it=50400 cur=1 best=1 T=1.16 elapsed=28s
it=50600 cur=1 best=1 T=1.16 elapsed=28s
it=50800 cur=1 best=1 T=1.15 elapsed=28s
it=51000 cur=1 best=1 T=1.15 elapsed=28s
it=51200 cur=1 best=1 T=1.15 elapsed=28s
it=51400 cur=1 best=1 T=1.14 elapsed=29s
it=51600 cur=1 best=1 T=1.14 elapsed=29s
it=51800 cur=1 best=1 T=1.14 elapsed=29s
it=52000 cur=1 best=1 T=1.13 elapsed=29s
it=52200 cur=1 best=1 T=1.13 elapsed=29s
it=52400 cur=1 best=1 T=1.13 elapsed=29s
it=52600 cur=1 best=1 T=1.12 elapsed=29s
it=52800 cur=1 best=1 T=1.12 elapsed=29s
it=53000 cur=1 best=1 T=1.12 elapsed=29s
it=53200 cur=1 best=1 T=1.11 elapsed=29s
it=53400 cur=1 best=1 T=1.11 elapsed=30s
it=53600 cur=1 best=1 T=1.11 elapsed=30s
it=53800 cur=1 best=1 T=1.10 elapsed=30s
it=54000 cur=1 best=1 T=1.10 elapsed=30s
it=54200 cur=1 best=1 T=1.10 elapsed=30s
it=54400 cur=1 best=1 T=1.09 elapsed=30s
it=54600 cur=1 best=1 T=1.09 elapsed=30s
it=54800 cur=1 best=1 T=1.09 elapsed=30s
it=55000 cur=1 best=1 T=1.08 elapsed=30s
it=55200 cur=1 best=1 T=1.08 elapsed=31s
it=55400 cur=1 best=1 T=1.08 elapsed=31s
it=55600 cur=1 best=1 T=1.07 elapsed=31s
it=55800 cur=1 best=1 T=1.07 elapsed=31s
it=56000 cur=1 best=1 T=1.07 elapsed=31s
it=56200 cur=1 best=1 T=1.06 elapsed=31s
it=56400 cur=1 best=1 T=1.06 elapsed=31s
it=56600 cur=1 best=1 T=1.06 elapsed=31s
it=56800 cur=1 best=1 T=1.05 elapsed=31s
it=57000 cur=1 best=1 T=1.05 elapsed=31s
it=57200 cur=1 best=1 T=1.05 elapsed=32s
it=57400 cur=1 best=1 T=1.04 elapsed=32s
it=57600 cur=1 best=1 T=1.04 elapsed=32s
it=57800 cur=1 best=1 T=1.04 elapsed=32s
it=58000 cur=1 best=1 T=1.03 elapsed=32s
it=58200 cur=1 best=1 T=1.03 elapsed=32s
it=58400 cur=1 best=1 T=1.03 elapsed=32s
it=58600 cur=1 best=1 T=1.02 elapsed=32s
it=58800 cur=1 best=1 T=1.02 elapsed=32s
it=59000 cur=1 best=1 T=1.02 elapsed=32s
it=59200 cur=1 best=1 T=1.01 elapsed=32s
it=59400 cur=1 best=1 T=1.01 elapsed=33s
it=59600 cur=1 best=1 T=1.01 elapsed=33s
it=59800 cur=1 best=1 T=1.00 elapsed=33s
it=60000 cur=1 best=1 T=1.00 elapsed=33s
it=60200 cur=1 best=1 T=1.00 elapsed=33s
it=60400 cur=1 best=1 T=0.99 elapsed=33s
it=60600 cur=1 best=1 T=0.99 elapsed=33s
it=60800 cur=1 best=1 T=0.99 elapsed=33s
it=61000 cur=1 best=1 T=0.98 elapsed=33s
it=61200 cur=1 best=1 T=0.98 elapsed=33s
it=61400 cur=1 best=1 T=0.98 elapsed=34s
it=61600 cur=1 best=1 T=0.97 elapsed=34s
it=61800 cur=1 best=1 T=0.97 elapsed=34s
it=62000 cur=1 best=1 T=0.97 elapsed=34s
it=62200 cur=1 best=1 T=0.96 elapsed=34s
it=62400 cur=1 best=1 T=0.96 elapsed=34s
it=62600 cur=1 best=1 T=0.96 elapsed=34s
it=62800 cur=1 best=1 T=0.95 elapsed=34s
it=63000 cur=1 best=1 T=0.95 elapsed=34s
it=63200 cur=1 best=1 T=0.95 elapsed=35s
it=63400 cur=1 best=1 T=0.94 elapsed=35s
it=63600 cur=1 best=1 T=0.94 elapsed=35s
it=63800 cur=1 best=1 T=0.94 elapsed=35s
it=64000 cur=1 best=1 T=0.93 elapsed=35s
it=64200 cur=1 best=1 T=0.93 elapsed=35s
it=64400 cur=1 best=1 T=0.93 elapsed=35s
it=64600 cur=1 best=1 T=0.92 elapsed=35s
it=64800 cur=1 best=1 T=0.92 elapsed=35s
it=65000 cur=1 best=1 T=0.92 elapsed=36s
it=65200 cur=1 best=1 T=0.91 elapsed=36s
it=65400 cur=1 best=1 T=0.91 elapsed=36s
it=65600 cur=1 best=1 T=0.91 elapsed=36s
it=65800 cur=1 best=1 T=0.90 elapsed=36s
it=66000 cur=1 best=1 T=0.90 elapsed=36s
it=66200 cur=1 best=1 T=0.90 elapsed=36s
it=66400 cur=1 best=1 T=0.89 elapsed=36s
it=66600 cur=1 best=1 T=0.89 elapsed=36s
it=66800 cur=1 best=1 T=0.89 elapsed=36s
it=67000 cur=1 best=1 T=0.88 elapsed=37s
it=67200 cur=1 best=1 T=0.88 elapsed=37s
it=67400 cur=1 best=1 T=0.88 elapsed=37s
it=67600 cur=1 best=1 T=0.87 elapsed=37s
it=67800 cur=1 best=1 T=0.87 elapsed=37s
it=68000 cur=1 best=1 T=0.87 elapsed=37s
it=68200 cur=1 best=1 T=0.86 elapsed=37s
it=68400 cur=1 best=1 T=0.86 elapsed=37s
it=68600 cur=1 best=1 T=0.86 elapsed=38s
it=68800 cur=1 best=1 T=0.85 elapsed=38s
it=69000 cur=1 best=1 T=0.85 elapsed=38s
it=69200 cur=1 best=1 T=0.85 elapsed=38s
it=69400 cur=1 best=1 T=0.84 elapsed=38s
it=69600 cur=1 best=1 T=0.84 elapsed=38s
it=69800 cur=1 best=1 T=0.84 elapsed=38s
it=70000 cur=1 best=1 T=0.83 elapsed=38s
it=70200 cur=1 best=1 T=0.83 elapsed=38s
it=70400 cur=1 best=1 T=0.83 elapsed=39s
it=70600 cur=1 best=1 T=0.82 elapsed=39s
it=70800 cur=1 best=1 T=0.82 elapsed=39s
it=71000 cur=1 best=1 T=0.82 elapsed=39s
it=71200 cur=1 best=1 T=0.81 elapsed=39s
