nohup: ignoring input
n=11 cnt=1095000 elapsed=7209s
n=11 cnt=1100000 elapsed=7228s
n=11 cnt=1105000 elapsed=7246s
n=11 cnt=1110000 elapsed=7264s
n=11 cnt=1115000 elapsed=7283s
n=11 cnt=1120000 elapsed=7306s
n=11 cnt=1125000 elapsed=7329s
n=11 cnt=1130000 elapsed=7352s
n=11 cnt=1135000 elapsed=7374s
n=11 cnt=1140000 elapsed=7397s
n=11 cnt=1145000 elapsed=7419s
n=11 cnt=1150000 elapsed=7443s
n=11 cnt=1155000 elapsed=7468s
n=11 cnt=1160000 elapsed=7492s
n=11 cnt=1165000 elapsed=7515s
n=11 cnt=1170000 elapsed=7535s
n=11 cnt=1175000 elapsed=7558s
n=11 cnt=1180000 elapsed=7582s
n=11 cnt=1185000 elapsed=7604s
n=11 cnt=1190000 elapsed=7626s
n=11 cnt=1195000 elapsed=7649s
n=11 cnt=1200000 elapsed=7673s
n=11 cnt=1205000 elapsed=7696s
n=11 cnt=1210000 elapsed=7719s
n=11 cnt=1215000 elapsed=7742s
n=11 cnt=1220000 elapsed=7763s
n=11 cnt=1225000 elapsed=7783s
n=11 cnt=1230000 elapsed=7802s
n=11 cnt=1235000 elapsed=7822s
n=11 cnt=1240000 elapsed=7842s
n=11 cnt=1245000 elapsed=7863s
n=11 cnt=1250000 elapsed=7884s
n=11 cnt=1255000 elapsed=7903s
n=11 cnt=1260000 elapsed=7924s
n=11 cnt=1265000 elapsed=7945s
n=11 cnt=1270000 elapsed=7966s
n=11 cnt=1275000 elapsed=7988s
n=11 cnt=1280000 elapsed=8010s
n=11 cnt=1285000 elapsed=8030s
n=11 cnt=1290000 elapsed=8051s
n=11 cnt=1295000 elapsed=8071s
n=11 cnt=1300000 elapsed=8090s
n=11 cnt=1305000 elapsed=8110s
n=11 cnt=1310000 elapsed=8129s
n=11 cnt=1315000 elapsed=8148s
n=11 cnt=1320000 elapsed=8168s
n=11 cnt=1325000 elapsed=8188s
n=11 cnt=1330000 elapsed=8208s
n=11 cnt=1335000 elapsed=8227s
n=11 cnt=1340000 elapsed=8248s
n=11 cnt=1345000 elapsed=8268s
n=11 cnt=1350000 elapsed=8288s
n=11 cnt=1355000 elapsed=8309s
n=11 cnt=1360000 elapsed=8329s
n=11 cnt=1365000 elapsed=8348s
n=11 cnt=1370000 elapsed=8368s
n=11 cnt=1375000 elapsed=8387s
n=11 cnt=1380000 elapsed=8407s
n=11 cnt=1385000 elapsed=8428s
n=11 cnt=1390000 elapsed=8448s
n=11 cnt=1395000 elapsed=8469s
n=11 cnt=1400000 elapsed=8489s
n=11 cnt=1405000 elapsed=8509s
n=11 cnt=1410000 elapsed=8529s
n=11 cnt=1415000 elapsed=8549s
n=11 cnt=1420000 elapsed=8570s
n=11 cnt=1425000 elapsed=8591s
n=11 cnt=1430000 elapsed=8612s
n=11 cnt=1435000 elapsed=8631s
n=11 cnt=1440000 elapsed=8651s
n=11 cnt=1445000 elapsed=8670s
n=11 cnt=1450000 elapsed=8692s
n=11 cnt=1455000 elapsed=8716s
n=11 cnt=1460000 elapsed=8741s
n=11 cnt=1465000 elapsed=8766s
n=11 cnt=1470000 elapsed=8793s
n=11 cnt=1475000 elapsed=8820s
n=11 cnt=1480000 elapsed=8847s
n=11 cnt=1485000 elapsed=8871s
n=11 cnt=1490000 elapsed=8893s
n=11 cnt=1495000 elapsed=8915s
n=11 cnt=1500000 elapsed=8939s
n=11 cnt=1505000 elapsed=8961s
n=11 cnt=1510000 elapsed=8982s
n=11 cnt=1515000 elapsed=9004s
n=11 cnt=1520000 elapsed=9027s
n=11 cnt=1525000 elapsed=9051s
n=11 cnt=1530000 elapsed=9076s
n=11 cnt=1535000 elapsed=9097s
n=11 cnt=1540000 elapsed=9119s
n=11 cnt=1545000 elapsed=9143s
n=11 cnt=1550000 elapsed=9167s
n=11 cnt=1555000 elapsed=9194s
n=11 cnt=1560000 elapsed=9219s
n=11 cnt=1565000 elapsed=9243s
n=11 cnt=1570000 elapsed=9269s
n=11 cnt=1575000 elapsed=9292s
n=11 cnt=1580000 elapsed=9317s
n=11 cnt=1585000 elapsed=9340s
n=11 cnt=1590000 elapsed=9364s
