it=74000 cur=1 best=1 T=1.81 elapsed=15s
it=74200 cur=1 best=1 T=1.81 elapsed=15s
it=74400 cur=1 best=1 T=1.81 elapsed=15s
it=74600 cur=1 best=1 T=1.81 elapsed=15s
it=74800 cur=1 best=1 T=1.81 elapsed=16s
it=75000 cur=1 best=1 T=1.81 elapsed=16s
it=75200 cur=1 best=1 T=1.81 elapsed=16s
it=75400 cur=1 best=1 T=1.81 elapsed=16s
it=75600 cur=1 best=1 T=1.81 elapsed=16s
it=75800 cur=1 best=1 T=1.81 elapsed=16s
it=76000 cur=1 best=1 T=1.81 elapsed=16s
it=76200 cur=1 best=1 T=1.81 elapsed=16s
it=76400 cur=1 best=1 T=1.81 elapsed=16s
it=76600 cur=1 best=1 T=1.81 elapsed=16s
it=76800 cur=1 best=1 T=1.81 elapsed=16s
it=77000 cur=1 best=1 T=1.81 elapsed=16s
it=77200 cur=1 best=1 T=1.81 elapsed=16s
it=77400 cur=1 best=1 T=1.81 elapsed=16s
it=77600 cur=1 best=1 T=1.81 elapsed=16s
it=77800 cur=1 best=1 T=1.81 elapsed=16s
it=78000 cur=1 best=1 T=1.80 elapsed=16s
it=78200 cur=1 best=1 T=1.80 elapsed=16s
it=78400 cur=1 best=1 T=1.80 elapsed=16s
it=78600 cur=1 best=1 T=1.80 elapsed=16s
it=78800 cur=1 best=1 T=1.80 elapsed=16s
it=79000 cur=1 best=1 T=1.80 elapsed=16s
it=79200 cur=1 best=1 T=1.80 elapsed=16s
it=79400 cur=1 best=1 T=1.80 elapsed=16s
it=79600 cur=1 best=1 T=1.80 elapsed=16s
it=79800 cur=1 best=1 T=1.80 elapsed=16s
it=80000 cur=1 best=1 T=1.80 elapsed=16s
it=80200 cur=1 best=1 T=1.80 elapsed=16s
it=80400 cur=1 best=1 T=1.80 elapsed=16s
it=80600 cur=1 best=1 T=1.80 elapsed=16s
it=80800 cur=1 best=1 T=1.80 elapsed=16s
it=81000 cur=1 best=1 T=1.80 elapsed=16s
it=81200 cur=1 best=1 T=1.80 elapsed=17s
it=81400 cur=1 best=1 T=1.80 elapsed=17s
it=81600 cur=1 best=1 T=1.80 elapsed=17s
it=81800 cur=1 best=1 T=1.80 elapsed=17s
it=82000 cur=1 best=1 T=1.79 elapsed=17s
it=82200 cur=1 best=1 T=1.79 elapsed=17s
it=82400 cur=1 best=1 T=1.79 elapsed=17s
it=82600 cur=1 best=1 T=1.79 elapsed=17s
it=82800 cur=1 best=1 T=1.79 elapsed=17s
it=83000 cur=1 best=1 T=1.79 elapsed=17s
it=83200 cur=1 best=1 T=1.79 elapsed=17s
it=83400 cur=1 best=1 T=1.79 elapsed=17s
it=83600 cur=1 best=1 T=1.79 elapsed=17s
it=83800 cur=1 best=1 T=1.79 elapsed=17s
it=84000 cur=1 best=1 T=1.79 elapsed=17s
it=84200 cur=1 best=1 T=1.79 elapsed=17s
it=84400 cur=1 best=1 T=1.79 elapsed=17s
it=84600 cur=1 best=1 T=1.79 elapsed=17s
it=84800 cur=1 best=1 T=1.79 elapsed=17s
it=85000 cur=1 best=1 T=1.79 elapsed=17s
it=85200 cur=1 best=1 T=1.79 elapsed=17s
it=85400 cur=1 best=1 T=1.79 elapsed=17s
it=85600 cur=1 best=1 T=1.79 elapsed=17s
it=85800 cur=1 best=1 T=1.79 elapsed=17s
it=86000 cur=1 best=1 T=1.78 elapsed=17s
it=86200 cur=1 best=1 T=1.78 elapsed=17s
it=86400 cur=1 best=1 T=1.78 elapsed=17s
it=86600 cur=1 best=1 T=1.78 elapsed=17s
it=86800 cur=1 best=1 T=1.78 elapsed=17s
it=87000 cur=1 best=1 T=1.78 elapsed=17s
it=87200 cur=1 best=1 T=1.78 elapsed=17s
it=87400 cur=1 best=1 T=1.78 elapsed=17s
it=87600 cur=1 best=1 T=1.78 elapsed=17s
it=87800 cur=1 best=1 T=1.78 elapsed=17s
it=88000 cur=1 best=1 T=1.78 elapsed=18s
it=88200 cur=1 best=1 T=1.78 elapsed=18s
it=88400 cur=1 best=1 T=1.78 elapsed=18s
it=88600 cur=1 best=1 T=1.78 elapsed=18s
it=88800 cur=1 best=1 T=1.78 elapsed=18s
it=89000 cur=1 best=1 T=1.78 elapsed=18s
it=89200 cur=1 best=1 T=1.78 elapsed=18s
it=89400 cur=1 best=1 T=1.78 elapsed=18s
it=89600 cur=1 best=1 T=1.78 elapsed=18s
it=89800 cur=1 best=1 T=1.78 elapsed=18s
it=90000 cur=1 best=1 T=1.77 elapsed=18s
it=90200 cur=1 best=1 T=1.77 elapsed=18s
it=90400 cur=1 best=1 T=1.77 elapsed=18s
it=90600 cur=1 best=1 T=1.77 elapsed=18s
it=90800 cur=1 best=1 T=1.77 elapsed=18s
it=91000 cur=1 best=1 T=1.77 elapsed=18s
it=91200 cur=1 best=1 T=1.77 elapsed=18s
it=91400 cur=1 best=1 T=1.77 elapsed=18s
it=91600 cur=1 best=1 T=1.77 elapsed=18s
it=91800 cur=1 best=1 T=1.77 elapsed=18s
it=92000 cur=1 best=1 T=1.77 elapsed=18s
it=92200 cur=1 best=1 T=1.77 elapsed=18s
