[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 24, 'ilp_tested': 2319, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 7800, 'dup': 2, 'tau1': 5447, 'tau2': 2229, 'tau3': 110, 'disconnected': 10, 'tau4': 4} t=4944s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 24, 'ilp_tested': 2393, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 8000, 'dup': 2, 'tau1': 5572, 'tau2': 2300, 'tau3': 113, 'disconnected': 11, 'tau4': 4} t=5065s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 26, 'ilp_tested': 2447, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 8200, 'dup': 2, 'tau1': 5716, 'tau2': 2353, 'tau3': 116, 'disconnected': 11, 'tau4': 4} t=5178s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 26, 'ilp_tested': 2512, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 8400, 'dup': 2, 'tau1': 5851, 'tau2': 2415, 'tau3': 119, 'disconnected': 11, 'tau4': 4} t=5298s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 26, 'ilp_tested': 2584, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 8600, 'dup': 2, 'tau1': 5979, 'tau2': 2486, 'tau3': 120, 'disconnected': 11, 'tau4': 4} t=5422s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 27, 'ilp_tested': 2653, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 8800, 'dup': 2, 'tau1': 6107, 'tau2': 2556, 'tau3': 120, 'disconnected': 13, 'tau4': 4} t=5531s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 30, 'ilp_tested': 2713, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 9000, 'dup': 2, 'tau1': 6244, 'tau2': 2616, 'tau3': 123, 'disconnected': 13, 'tau4': 4} t=5649s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 31, 'ilp_tested': 2775, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 9200, 'dup': 2, 'tau1': 6381, 'tau2': 2676, 'tau3': 126, 'disconnected': 13, 'tau4': 4} t=5765s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 32, 'ilp_tested': 2836, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 9400, 'dup': 2, 'tau1': 6519, 'tau2': 2736, 'tau3': 128, 'disconnected': 13, 'tau4': 4} t=5868s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 36, 'ilp_tested': 2893, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 9600, 'dup': 2, 'tau1': 6658, 'tau2': 2793, 'tau3': 132, 'disconnected': 13, 'tau4': 4} t=5982s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 37, 'ilp_tested': 2963, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 9800, 'dup': 2, 'tau1': 6787, 'tau2': 2862, 'tau3': 134, 'disconnected': 13, 'tau4': 4} t=6109s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 39, 'ilp_tested': 3028, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 10000, 'dup': 2, 'tau1': 6918, 'tau2': 2924, 'tau3': 139, 'disconnected': 15, 'tau4': 4} t=6222s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 40, 'ilp_tested': 3087, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 10200, 'dup': 2, 'tau1': 7058, 'tau2': 2981, 'tau3': 142, 'disconnected': 15, 'tau4': 4} t=6338s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 42, 'ilp_tested': 3149, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 10400, 'dup': 2, 'tau1': 7194, 'tau2': 3038, 'tau3': 149, 'disconnected': 15, 'tau4': 4} t=6451s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 43, 'ilp_tested': 3205, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 10600, 'dup': 2, 'tau1': 7337, 'tau2': 3094, 'tau3': 150, 'disconnected': 15, 'tau4': 4} t=6571s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 43, 'ilp_tested': 3272, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 10800, 'dup': 2, 'tau1': 7470, 'tau2': 3159, 'tau3': 152, 'disconnected': 15, 'tau4': 4} t=6697s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 44, 'ilp_tested': 3321, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 11000, 'dup': 2, 'tau1': 7620, 'tau2': 3206, 'tau3': 155, 'disconnected': 15, 'tau4': 4} t=6806s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 45, 'ilp_tested': 3380, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 11200, 'dup': 2, 'tau1': 7760, 'tau2': 3264, 'tau3': 157, 'disconnected': 15, 'tau4': 4} t=6921s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 47, 'ilp_tested': 3438, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 11400, 'dup': 2, 'tau1': 7900, 'tau2': 3315, 'tau3': 166, 'disconnected': 15, 'tau4': 4} t=7027s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 49, 'ilp_tested': 3502, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 11600, 'dup': 2, 'tau1': 8034, 'tau2': 3380, 'tau3': 166, 'disconnected': 15, 'tau4': 5} t=7137s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 50, 'ilp_tested': 3561, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 11800, 'dup': 2, 'tau1': 8172, 'tau2': 3437, 'tau3': 169, 'disconnected': 17, 'tau4': 5} t=7261s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 52, 'ilp_tested': 3617, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 12000, 'dup': 2, 'tau1': 8314, 'tau2': 3489, 'tau3': 175, 'disconnected': 17, 'tau4': 5} t=7362s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 54, 'ilp_tested': 3681, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 12200, 'dup': 2, 'tau1': 8447, 'tau2': 3553, 'tau3': 177, 'disconnected': 18, 'tau4': 5} t=7487s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 55, 'ilp_tested': 3752, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 12400, 'dup': 2, 'tau1': 8575, 'tau2': 3621, 'tau3': 181, 'disconnected': 18, 'tau4': 5} t=7617s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 55, 'ilp_tested': 3824, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 12600, 'dup': 2, 'tau1': 8703, 'tau2': 3688, 'tau3': 186, 'disconnected': 18, 'tau4': 5} t=7731s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 55, 'ilp_tested': 3882, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 12800, 'dup': 2, 'tau1': 8845, 'tau2': 3742, 'tau3': 190, 'disconnected': 18, 'tau4': 5} t=7827s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 56, 'ilp_tested': 3951, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 13000, 'dup': 2, 'tau1': 8975, 'tau2': 3807, 'tau3': 195, 'disconnected': 18, 'tau4': 5} t=7956s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 56, 'ilp_tested': 4007, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 13200, 'dup': 2, 'tau1': 9118, 'tau2': 3861, 'tau3': 197, 'disconnected': 19, 'tau4': 5} t=8065s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 58, 'ilp_tested': 4061, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 13400, 'dup': 2, 'tau1': 9262, 'tau2': 3915, 'tau3': 199, 'disconnected': 19, 'tau4': 5} t=8179s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 61, 'ilp_tested': 4118, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 13600, 'dup': 2, 'tau1': 9402, 'tau2': 3970, 'tau3': 204, 'disconnected': 19, 'tau4': 5} t=8293s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 61, 'ilp_tested': 4186, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 13800, 'dup': 2, 'tau1': 9533, 'tau2': 4033, 'tau3': 209, 'disconnected': 20, 'tau4': 5} t=8428s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 62, 'ilp_tested': 4246, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 14000, 'dup': 2, 'tau1': 9672, 'tau2': 4093, 'tau3': 210, 'disconnected': 20, 'tau4': 5} t=8529s
