BOUNDARY H?AACHA score=2.6645352591e-15 w=3 m=6
BOUNDARY H?ABBB_ score=-1.33226762955e-14 w=2 m=8
BOUNDARY H?ABFB_ score=-2.13162820728e-14 w=2 m=9
BOUNDARY H?ACKMF score=-8.881784197e-16 w=5 m=10
BOUNDARY H?ABb`o score=0 w=2 m=10
BOUNDARY H?ABbbo score=7.1054273576e-15 w=2 m=11
BOUNDARY H?ABfbo score=1.06581410364e-14 w=2 m=12
BOUNDARY H?ABrpw score=-7.1054273576e-15 w=2 m=13
BOUNDARY H?ABrrw score=7.1054273576e-15 w=2 m=14
BOUNDARY H?ABvrw score=8.881784197e-15 w=2 m=15
BOUNDARY H?AFvrw score=3.19744231092e-14 w=2 m=16
BOUNDARY H?BE@_o score=7.1054273576e-15 w=2 m=8
BOUNDARY H?BE@b@ score=8.881784197e-15 w=2 m=9
BOUNDARY H?BE@bo score=1.06581410364e-14 w=2 m=10
BOUNDARY H?BE@ow score=1.7763568394e-15 w=2 m=10
BOUNDARY H?BE@rw score=1.7763568394e-14 w=2 m=12
BOUNDARY H?BEFbo score=1.42108547152e-14 w=2 m=12
BOUNDARY H?BEENE score=5.3290705182e-15 w=3 m=12
BOUNDARY H?BEFrw score=3.73034936274e-14 w=2 m=14
BOUNDARY H?B@fbo score=2.13162820728e-14 w=2 m=12
BOUNDARY H?B@pow score=0 w=2 m=11
BOUNDARY H?B@po{ score=1.7763568394e-15 w=2 m=12
BOUNDARY H?B@prB score=4.08562073062e-14 w=2 m=12
BOUNDARY H?B@prw score=1.59872115546e-14 w=2 m=13
BOUNDARY H?B@vrw score=1.24344978758e-14 w=2 m=15
BOUNDARY H?BFvrw score=3.5527136788e-15 w=2 m=17
BOUNDARY H?BfFBo score=-1.7763568394e-15 w=2 m=13
BOUNDARY H?BfFBW score=3.5527136788e-15 w=2 m=13
BOUNDARY H?BfFBw score=1.7763568394e-14 w=2 m=14
BOUNDARY H?BfFbo score=8.881784197e-15 w=2 m=14
BOUNDARY H?BfFrw score=-1.06581410364e-14 w=2 m=16
BOUNDARY H?Bffbo score=3.73034936274e-14 w=2 m=15
BOUNDARY H?Bfvrw score=3.5527136788e-15 w=2 m=18
BOUNDARY H?Bvfbo score=7.1054273576e-15 w=2 m=16
BOUNDARY H?Bvfbw score=1.06581410364e-14 w=2 m=17
BOUNDARY H?Bvfrw score=6.39488462184e-14 w=2 m=18
BOUNDARY H?Bvvrw score=-1.42108547152e-14 w=2 m=19
BOUNDARY H?B~vrw score=1.06581410364e-14 w=2 m=20
BOUNDARY H?aK[]N score=-1.11022302463e-15 w=6 m=15
BOUNDARY H?`rbbo score=3.5527136788e-14 w=2 m=14
BOUNDARY H?`rfbo score=6.39488462184e-14 w=2 m=15
BOUNDARY H?`vfbo score=-2.48689957516e-14 w=2 m=16
BOUNDARY H?r@`bo score=1.06581410364e-14 w=2 m=12
BOUNDARY H?r@fbo score=1.24344978758e-14 w=2 m=14
BOUNDARY H?ovfbo score=2.13162820728e-14 w=2 m=16
BOUNDARY HCQQShI score=7.1054273576e-15 w=4 m=12
BOUNDARY HCdbBLe score=8.43769498715e-15 w=3 m=15
BOUNDARY HCe[{}^ score=-2.6645352591e-15 w=7 m=21
BOUNDARY HEr]u~] score=3.5527136788e-14 w=4 m=24
BOUNDARY HFzf~z{ score=7.4162898045e-14 w=3 m=27
BOUNDARY HTm||}~ score=0 w=8 m=28
checked=274668 violations=0 boundary(>-1e-06)=195 maxscore=8.52651282912e-14 maxg6=H??EFz{
