BOUNDARY I??EE?oK? score=7.1054273576e-15 w=2 m=8
BOUNDARY I??EE?ooG score=8.881784197e-15 w=2 m=9
BOUNDARY I??EE?o{? score=1.06581410364e-14 w=2 m=10
BOUNDARY I??EE?wM? score=1.7763568394e-15 w=2 m=10
BOUNDARY I??EE?w}? score=1.7763568394e-14 w=2 m=12
BOUNDARY I??EEBo{? score=1.42108547152e-14 w=2 m=12
BOUNDARY I??EE?{N? score=5.3290705182e-15 w=2 m=12
BOUNDARY I??EE?{~? score=0 w=2 m=14
BOUNDARY I??EEBBoo score=5.3290705182e-15 w=3 m=12
BOUNDARY I??EEBw}? score=3.73034936274e-14 w=2 m=14
BOUNDARY I??EEA{n? score=1.24344978758e-14 w=2 m=14
BOUNDARY I??EEB{~? score=2.84217094304e-14 w=2 m=16
BOUNDARY I??E@bo{? score=2.13162820728e-14 w=2 m=12
BOUNDARY I??E@owM? score=0 w=2 m=11
BOUNDARY I??E@owM_ score=1.7763568394e-15 w=2 m=12
BOUNDARY I??E@owoW score=4.08562073062e-14 w=2 m=12
BOUNDARY I??E@ow}? score=1.59872115546e-14 w=2 m=13
BOUNDARY I??E@rw}? score=1.24344978758e-14 w=2 m=15
BOUNDARY I??E@w{N? score=-8.881784197e-15 w=2 m=14
BOUNDARY I??E@w{N_ score=8.881784197e-15 w=2 m=15
BOUNDARY I??E@w{~? score=7.1054273576e-15 w=2 m=16
BOUNDARY I??E@w}N_ score=5.3290705182e-14 w=2 m=16
BOUNDARY I??E@z{~? score=5.3290705182e-14 w=2 m=18
BOUNDARY I??EFrw}? score=3.5527136788e-15 w=2 m=17
BOUNDARY I??EDy{n? score=1.7763568394e-14 w=2 m=17
BOUNDARY I??EFz{~? score=3.90798504668e-14 w=2 m=20
BOUNDARY I??FFB_{? score=-1.7763568394e-15 w=2 m=13
BOUNDARY I??FFB_u? score=3.5527136788e-15 w=2 m=13
BOUNDARY I??FFB_}? score=1.7763568394e-14 w=2 m=14
BOUNDARY I??FFB_v? score=2.84217094304e-14 w=2 m=14
BOUNDARY I??FFB_~? score=4.26325641456e-14 w=2 m=15
BOUNDARY I??FFBo{? score=8.881784197e-15 w=2 m=14
BOUNDARY I??FFBw}? score=-1.06581410364e-14 w=2 m=16
BOUNDARY I??FFB[v? score=4.61852778244e-14 w=2 m=16
BOUNDARY I??FF?^Fo score=2.13162820728e-14 w=2 m=16
BOUNDARY I??FFB{~? score=3.19744231092e-14 w=2 m=18
BOUNDARY I??F?z_w? score=0 w=2 m=12
BOUNDARY I??F?z_F? score=-1.7763568394e-15 w=2 m=12
BOUNDARY I??F?z_wO score=3.5527136788e-14 w=2 m=13
BOUNDARY I??F?z_Fg score=4.08562073062e-14 w=2 m=14
BOUNDARY I??F?z_~? score=4.61852778244e-14 w=2 m=15
BOUNDARY I??F?z{~? score=3.19744231092e-14 w=2 m=18
BOUNDARY I??FFbo{? score=3.73034936274e-14 w=2 m=15
BOUNDARY I??FFrw}? score=3.5527136788e-15 w=2 m=18
BOUNDARY I??FEz[v? score=3.5527136788e-15 w=2 m=18
BOUNDARY I??FFz{~? score=8.17124146124e-14 w=2 m=21
BOUNDARY I??Ffbo{? score=7.1054273576e-15 w=2 m=16
BOUNDARY I??Ffbo}? score=1.06581410364e-14 w=2 m=17
BOUNDARY I??Ffboz? score=-7.1054273576e-15 w=2 m=17
BOUNDARY I??FfboBw score=3.5527136788e-15 w=2 m=17
BOUNDARY I??Ffbo~? score=6.03961325396e-14 w=2 m=18
BOUNDARY I??Ffbw}? score=6.39488462184e-14 w=2 m=18
BOUNDARY I??Ffbkz? score=3.90798504668e-14 w=2 m=18
BOUNDARY I??Ffb{~? score=4.61852778244e-14 w=2 m=20
BOUNDARY I??Ffrw}? score=-1.42108547152e-14 w=2 m=19
BOUNDARY I??FfZkz? score=2.13162820728e-14 w=2 m=19
BOUNDARY I??Ffz{~? score=3.19744231092e-14 w=2 m=22
BOUNDARY I??Fvrw}? score=1.06581410364e-14 w=2 m=20
BOUNDARY I??Fvrw|? score=4.97379915032e-14 w=2 m=20
BOUNDARY I??Fvrw~? score=1.42108547152e-14 w=2 m=21
