[n=14 it=1 t=0s] min-decomp=5 (bound 6) m=57
[n=14 it=33000 t=3229s] cur=5 best=5 m=49 cache=25111
[n=14 it=33200 t=3240s] cur=5 best=5 m=50 cache=25262
[n=14 it=33400 t=3251s] cur=5 best=5 m=53 cache=25411
[n=14 it=33600 t=3265s] cur=5 best=5 m=51 cache=25569
[n=14 it=34000 t=3290s] cur=5 best=5 m=50 cache=25880
[n=14 it=34400 t=3312s] cur=5 best=5 m=50 cache=26174
[n=14 it=34600 t=3324s] cur=5 best=5 m=53 cache=26324
[n=14 it=34800 t=3335s] cur=5 best=5 m=50 cache=26470
[n=14 it=35200 t=3361s] cur=5 best=5 m=58 cache=26793
[n=14 it=35400 t=3374s] cur=4 best=5 m=50 cache=26938
[n=14 it=35800 t=3398s] cur=5 best=5 m=55 cache=27236
[n=14 it=36000 t=3412s] cur=5 best=5 m=55 cache=27396
[n=14 it=36200 t=3423s] cur=5 best=5 m=51 cache=27535
[n=14 it=36400 t=3437s] cur=5 best=5 m=52 cache=27685
[n=14 it=36600 t=3449s] cur=5 best=5 m=50 cache=27844
[n=14 it=36800 t=3460s] cur=5 best=5 m=50 cache=27995
[n=14 it=37000 t=3471s] cur=5 best=5 m=57 cache=28143
[n=14 it=37200 t=3485s] cur=5 best=5 m=51 cache=28301
[n=14 it=37600 t=3509s] cur=5 best=5 m=50 cache=28603
[n=14 it=37800 t=3523s] cur=5 best=5 m=56 cache=28772
[n=14 it=38000 t=3536s] cur=5 best=5 m=52 cache=28931
[n=14 it=38200 t=3548s] cur=5 best=5 m=46 cache=29090
[n=14 it=38400 t=3559s] cur=5 best=5 m=58 cache=29233
[n=14 it=38600 t=3569s] cur=5 best=5 m=52 cache=29382
[n=14 it=38800 t=3581s] cur=5 best=5 m=53 cache=29534
[n=14 it=39000 t=3593s] cur=5 best=5 m=55 cache=29694
[n=14 it=39200 t=3606s] cur=5 best=5 m=59 cache=29851
[n=14 it=39400 t=3620s] cur=5 best=5 m=48 cache=30017
[n=14 it=39600 t=3632s] cur=5 best=5 m=51 cache=30178
[n=14 it=39800 t=3644s] cur=5 best=5 m=61 cache=30332
[n=14 it=40200 t=3667s] cur=5 best=5 m=52 cache=30634
[n=14 it=40600 t=3691s] cur=5 best=5 m=50 cache=30931
[n=14 it=40800 t=3702s] cur=5 best=5 m=52 cache=31078
[n=14 it=41000 t=3712s] cur=5 best=5 m=54 cache=31221
[n=14 it=41200 t=3725s] cur=5 best=5 m=54 cache=31372
[n=14 it=41400 t=3737s] cur=5 best=5 m=55 cache=31530
[n=14 it=41600 t=3750s] cur=5 best=5 m=53 cache=31689
[n=14 it=42000 t=3775s] cur=5 best=5 m=53 cache=32005
[n=14 it=42200 t=3788s] cur=5 best=5 m=54 cache=32164
[n=14 it=42400 t=3800s] cur=5 best=5 m=51 cache=32318
[n=14 it=42600 t=3811s] cur=5 best=5 m=53 cache=32466
[n=14 it=42800 t=3824s] cur=5 best=5 m=54 cache=32622
[n=14 it=43000 t=3837s] cur=5 best=5 m=53 cache=32777
[n=14 it=43400 t=3860s] cur=5 best=5 m=54 cache=33089
[n=14 it=43600 t=3872s] cur=5 best=5 m=46 cache=33243
[n=14 it=43800 t=3885s] cur=5 best=5 m=57 cache=33398
[n=14 it=44000 t=3898s] cur=5 best=5 m=57 cache=33542
[n=14 it=44400 t=3925s] cur=5 best=5 m=52 cache=33841
[n=14 it=44800 t=3951s] cur=5 best=5 m=49 cache=34140
[n=14 it=45000 t=3963s] cur=5 best=5 m=50 cache=34294
[n=14 it=45400 t=3986s] cur=5 best=5 m=51 cache=34594
[n=14 it=45600 t=3998s] cur=5 best=5 m=53 cache=34754
[n=14 it=45800 t=4009s] cur=5 best=5 m=55 cache=34902
[n=14 it=46200 t=4033s] cur=5 best=5 m=51 cache=35207
[n=14 it=46800 t=4069s] cur=5 best=5 m=52 cache=35660
[n=14 it=47000 t=4081s] cur=5 best=5 m=53 cache=35817
[n=14 it=47400 t=4105s] cur=5 best=5 m=50 cache=36118
[n=14 it=47600 t=4117s] cur=5 best=5 m=50 cache=36263
[n=14 it=47800 t=4128s] cur=5 best=5 m=58 cache=36411
[n=14 it=48000 t=4141s] cur=5 best=5 m=53 cache=36561
[n=14 it=48200 t=4154s] cur=5 best=5 m=53 cache=36723
[n=14 it=48400 t=4164s] cur=5 best=5 m=52 cache=36863
[n=14 it=48600 t=4175s] cur=5 best=5 m=48 cache=37007
[n=14 it=48800 t=4188s] cur=5 best=5 m=53 cache=37163
[n=14 it=49200 t=4213s] cur=5 best=5 m=49 cache=37462
[n=14 it=49400 t=4226s] cur=5 best=5 m=48 cache=37603
[n=14 it=49800 t=4250s] cur=5 best=5 m=56 cache=37908
[n=14 it=50000 t=4263s] cur=5 best=5 m=52 cache=38064
[n=14 it=50200 t=4276s] cur=5 best=5 m=53 cache=38216
[n=14 it=50400 t=4288s] cur=5 best=5 m=53 cache=38359
[n=14 it=50600 t=4303s] cur=5 best=5 m=48 cache=38516
[n=14 it=50800 t=4318s] cur=5 best=5 m=50 cache=38672
[n=14 it=51000 t=4332s] cur=5 best=5 m=53 cache=38827
[n=14 it=51200 t=4346s] cur=5 best=5 m=56 cache=38984
[n=14 it=51400 t=4361s] cur=5 best=5 m=53 cache=39150
[n=14 it=51600 t=4374s] cur=5 best=5 m=51 cache=39303
[n=14 it=51800 t=4386s] cur=5 best=5 m=52 cache=39451
[n=14 it=52000 t=4399s] cur=5 best=5 m=53 cache=39598
[n=14 it=52200 t=4412s] cur=5 best=5 m=52 cache=39749
[n=14 it=52400 t=4426s] cur=5 best=5 m=51 cache=39899
[n=14 it=52600 t=4440s] cur=5 best=5 m=55 cache=40058
[n=14 it=52800 t=4455s] cur=5 best=5 m=50 cache=40214
[n=14 it=53200 t=4480s] cur=5 best=5 m=57 cache=40516
[n=14 it=53400 t=4492s] cur=5 best=5 m=52 cache=40672
[n=14 it=53600 t=4504s] cur=5 best=5 m=56 cache=40830
[n=14 it=53800 t=4516s] cur=5 best=5 m=52 cache=40982
[n=14 it=54000 t=4529s] cur=5 best=5 m=49 cache=41141
[n=14 it=54200 t=4541s] cur=5 best=5 m=49 cache=41289
[n=14 it=54600 t=4567s] cur=5 best=5 m=52 cache=41618
