DONE n=15 resmod=['152', '400']: 3421026 graphs, 0 escalated, t=1051s
DONE n=15 resmod=['154', '400']: 3607435 graphs, 0 escalated, t=1138s
DONE n=15 resmod=['155', '400']: 3309472 graphs, 0 escalated, t=1063s
DONE n=15 resmod=['153', '400']: 4679907 graphs, 0 escalated, t=1494s
DONE n=15 resmod=['156', '400']: 3537691 graphs, 0 escalated, t=1142s
DONE n=15 resmod=['157', '400']: 3490326 graphs, 0 escalated, t=1070s
DONE n=15 resmod=['159', '400']: 3511741 graphs, 0 escalated, t=1114s
DONE n=15 resmod=['158', '400']: 3793225 graphs, 0 escalated, t=1189s
DONE n=15 resmod=['160', '400']: 3807882 graphs, 0 escalated, t=1218s
DONE n=15 resmod=['161', '400']: 3761578 graphs, 0 escalated, t=1208s
DONE n=15 resmod=['163', '400']: 3480542 graphs, 0 escalated, t=1058s
DONE n=15 resmod=['162', '400']: 4604794 graphs, 0 escalated, t=1475s
DONE n=15 resmod=['166', '400']: 3516777 graphs, 0 escalated, t=1107s
DONE n=15 resmod=['164', '400']: 4201202 graphs, 0 escalated, t=1304s
DONE n=15 resmod=['165', '400']: 3898329 graphs, 0 escalated, t=1242s
DONE n=15 resmod=['169', '400']: 2983864 graphs, 0 escalated, t=977s
DONE n=15 resmod=['168', '400']: 3252448 graphs, 0 escalated, t=1032s
DONE n=15 resmod=['167', '400']: 4505119 graphs, 0 escalated, t=1404s
DONE n=15 resmod=['170', '400']: 2915728 graphs, 0 escalated, t=901s
DONE n=15 resmod=['172', '400']: 3033876 graphs, 0 escalated, t=970s
DONE n=15 resmod=['173', '400']: 3432770 graphs, 0 escalated, t=1076s
DONE n=15 resmod=['171', '400']: 3978655 graphs, 0 escalated, t=1312s
DONE n=15 resmod=['174', '400']: 3056648 graphs, 0 escalated, t=959s
DONE n=15 resmod=['175', '400']: 3362845 graphs, 0 escalated, t=1048s
DONE n=15 resmod=['176', '400']: 3717604 graphs, 0 escalated, t=1151s
DONE n=15 resmod=['177', '400']: 3766602 graphs, 0 escalated, t=1189s
DONE n=15 resmod=['178', '400']: 3783437 graphs, 0 escalated, t=1166s
DONE n=15 resmod=['179', '400']: 3462076 graphs, 0 escalated, t=1090s
DONE n=15 resmod=['180', '400']: 3266628 graphs, 0 escalated, t=1061s
DONE n=15 resmod=['182', '400']: 3707667 graphs, 0 escalated, t=1170s
DONE n=15 resmod=['181', '400']: 4186747 graphs, 0 escalated, t=1344s
DONE n=15 resmod=['184', '400']: 3275676 graphs, 0 escalated, t=1041s
DONE n=15 resmod=['185', '400']: 3280663 graphs, 0 escalated, t=1041s
DONE n=15 resmod=['183', '400']: 4766188 graphs, 0 escalated, t=1521s
DONE n=15 resmod=['186', '400']: 3844534 graphs, 0 escalated, t=1183s
DONE n=15 resmod=['187', '400']: 3900745 graphs, 0 escalated, t=1227s
DONE n=15 resmod=['188', '400']: 3697629 graphs, 0 escalated, t=1192s
DONE n=15 resmod=['189', '400']: 3532390 graphs, 0 escalated, t=1131s
DONE n=15 resmod=['191', '400']: 2862015 graphs, 0 escalated, t=905s
DONE n=15 resmod=['192', '400']: 2917307 graphs, 0 escalated, t=904s
DONE n=15 resmod=['190', '400']: 4405499 graphs, 0 escalated, t=1400s
DONE n=15 resmod=['193', '400']: 3229392 graphs, 0 escalated, t=1021s
DONE n=15 resmod=['194', '400']: 3295639 graphs, 0 escalated, t=1019s
DONE n=15 resmod=['196', '400']: 3306394 graphs, 0 escalated, t=1046s
DONE n=15 resmod=['197', '400']: 3401628 graphs, 0 escalated, t=1038s
DONE n=15 resmod=['195', '400']: 3673758 graphs, 0 escalated, t=1168s
DONE n=15 resmod=['199', '400']: 3173587 graphs, 0 escalated, t=993s
DONE n=15 resmod=['198', '400']: 4677278 graphs, 0 escalated, t=1451s
DONE n=15 resmod=['200', '400']: 4346122 graphs, 0 escalated, t=1372s
DONE n=15 resmod=['201', '400']: 4412619 graphs, 0 escalated, t=1394s
DONE n=15 resmod=['202', '400']: 3746178 graphs, 0 escalated, t=1182s
DONE n=15 resmod=['203', '400']: 3991968 graphs, 0 escalated, t=1243s
DONE n=15 resmod=['205', '400']: 3957688 graphs, 0 escalated, t=1241s
DONE n=15 resmod=['204', '400']: 4752928 graphs, 0 escalated, t=1475s
DONE n=15 resmod=['206', '400']: 3069461 graphs, 0 escalated, t=975s
DONE n=15 resmod=['207', '400']: 4204282 graphs, 0 escalated, t=1287s
DONE n=15 resmod=['208', '400']: 3825123 graphs, 0 escalated, t=1197s
DONE n=15 resmod=['209', '400']: 3354656 graphs, 0 escalated, t=1012s
DONE n=15 resmod=['210', '400']: 3695090 graphs, 0 escalated, t=1175s
DONE n=15 resmod=['212', '400']: 3041446 graphs, 0 escalated, t=946s
DONE n=15 resmod=['213', '400']: 3002602 graphs, 0 escalated, t=964s
DONE n=15 resmod=['211', '400']: 3471539 graphs, 0 escalated, t=1101s
DONE n=15 resmod=['214', '400']: 3243671 graphs, 0 escalated, t=1034s
DONE n=15 resmod=['215', '400']: 3385558 graphs, 0 escalated, t=1007s
DONE n=15 resmod=['217', '400']: 2859840 graphs, 0 escalated, t=894s
DONE n=15 resmod=['216', '400']: 3980068 graphs, 0 escalated, t=1251s
DONE n=15 resmod=['218', '400']: 3497005 graphs, 0 escalated, t=1049s
DONE n=15 resmod=['219', '400']: 3194144 graphs, 0 escalated, t=984s
