BEST n=26 hc=768 edges: 0-2 0-9 0-11 0-25 1-4 1-15 1-16 1-23 2-3 2-13 2-17 3-10 3-18 3-19 4-15 4-16 4-19 5-7 5-8 5-14 5-17 6-9 6-11 6-14 6-25 7-8 7-13 7-19 8-12 8-17 9-11 9-25 10-19 10-21 10-24 11-25 12-13 12-20 12-22 13-14 14-17 15-22 15-23 16-22 16-23 18-20 18-21 18-24 20-21 20-24 21-24 22-23
BEST n=26 hc=672 edges: 0-2 0-9 0-11 0-25 1-15 1-16 1-22 1-23 2-3 2-8 2-17 3-10 3-19 3-24 4-15 4-16 4-19 4-22 5-7 5-8 5-13 5-17 6-9 6-11 6-14 6-25 7-13 7-14 7-19 8-12 8-14 9-11 9-25 10-18 10-19 10-20 11-25 12-15 12-17 12-21 13-14 13-17 15-23 16-22 16-23 18-20 18-21 18-24 20-21 20-24 21-24 22-23
BEST n=26 hc=480 edges: 0-6 0-9 0-11 0-13 1-4 1-15 1-16 1-22 2-3 2-7 2-17 2-25 3-10 3-19 3-21 4-19 4-22 4-23 5-7 5-8 5-14 5-17 6-9 6-11 6-25 7-13 7-14 8-13 8-14 8-19 9-11 9-25 10-12 10-18 10-20 11-25 12-16 12-17 12-24 13-17 14-19 15-16 15-22 15-23 16-23 18-20 18-21 18-24 20-21 20-24 21-24 22-23
BEST n=26 hc=384 edges: 0-9 0-11 0-13 0-25 1-15 1-16 1-22 1-23 2-3 2-6 2-14 2-17 3-10 3-18 3-24 4-15 4-16 4-22 4-23 5-7 5-8 5-13 5-14 6-9 6-11 6-25 7-8 7-14 7-19 8-17 8-19 9-11 9-25 10-18 10-20 10-21 11-25 12-17 12-19 12-20 12-22 13-14 13-17 15-16 15-22 16-23 18-21 18-24 19-23 20-21 20-24 21-24
BEST n=26 hc=240 edges: 0-7 0-9 0-11 0-25 1-4 1-15 1-16 1-22 2-8 2-14 2-17 2-19 3-10 3-20 3-21 3-24 4-16 4-22 4-23 5-7 5-12 5-13 5-14 6-9 6-11 6-13 6-25 7-12 7-14 8-17 8-19 8-23 9-11 9-25 10-18 10-20 10-21 11-25 12-17 12-21 13-16 13-24 14-17 15-16 15-19 15-22 18-20 18-21 18-24 19-23 20-24 22-23
BEST n=26 hc=192 edges: 0-9 0-11 0-13 0-25 1-15 1-16 1-22 1-23 2-8 2-14 2-17 2-19 3-10 3-12 3-20 3-21 4-15 4-19 4-22 4-23 5-7 5-12 5-13 5-14 6-7 6-9 6-11 6-25 7-12 7-14 8-17 8-19 8-23 9-11 9-25 10-18 10-21 10-24 11-25 12-17 13-16 13-24 14-17 15-16 15-22 16-22 18-20 18-21 18-24 19-23 20-21 20-24
restart: it_total=30000 best_ever=192 elapsed=1074s
restart: it_total=60000 best_ever=192 elapsed=2274s
restart: it_total=90000 best_ever=192 elapsed=3295s
restart: it_total=120000 best_ever=192 elapsed=4494s
