GRAPH 82 orientations=700 profiles=700 ss=444 tau_skip=34 safe=124 checks=98 packed=98 cand=0 deferred=0
GRAPH 83 orientations=712 profiles=712 ss=444 tau_skip=34 safe=124 checks=110 packed=110 cand=0 deferred=0
GRAPH 84 orientations=736 profiles=736 ss=468 tau_skip=34 safe=124 checks=110 packed=110 cand=0 deferred=0
GRAPH 85 orientations=760 profiles=760 ss=492 tau_skip=34 safe=124 checks=110 packed=110 cand=0 deferred=0
GRAPH 86 orientations=764 profiles=764 ss=496 tau_skip=34 safe=124 checks=110 packed=110 cand=0 deferred=0
GRAPH 87 orientations=772 profiles=772 ss=502 tau_skip=34 safe=124 checks=112 packed=112 cand=0 deferred=0
GRAPH 88 orientations=786 profiles=786 ss=516 tau_skip=34 safe=124 checks=112 packed=112 cand=0 deferred=0
GRAPH 89 orientations=800 profiles=800 ss=522 tau_skip=34 safe=124 checks=120 packed=120 cand=0 deferred=0
GRAPH 90 orientations=810 profiles=810 ss=528 tau_skip=34 safe=124 checks=124 packed=124 cand=0 deferred=0
GRAPH 91 orientations=818 profiles=818 ss=528 tau_skip=40 safe=126 checks=124 packed=124 cand=0 deferred=0
GRAPH 92 orientations=828 profiles=828 ss=538 tau_skip=40 safe=126 checks=124 packed=124 cand=0 deferred=0
GRAPH 93 orientations=852 profiles=852 ss=550 tau_skip=40 safe=126 checks=136 packed=136 cand=0 deferred=0
GRAPH 94 orientations=860 profiles=860 ss=558 tau_skip=40 safe=126 checks=136 packed=136 cand=0 deferred=0
GRAPH 95 orientations=868 profiles=868 ss=564 tau_skip=40 safe=126 checks=138 packed=138 cand=0 deferred=0
GRAPH 96 orientations=880 profiles=880 ss=570 tau_skip=40 safe=126 checks=144 packed=144 cand=0 deferred=0
GRAPH 97 orientations=886 profiles=886 ss=576 tau_skip=40 safe=126 checks=144 packed=144 cand=0 deferred=0
GRAPH 98 orientations=892 profiles=892 ss=582 tau_skip=40 safe=126 checks=144 packed=144 cand=0 deferred=0
GRAPH 99 orientations=904 profiles=904 ss=588 tau_skip=40 safe=126 checks=150 packed=150 cand=0 deferred=0
GRAPH 100 orientations=918 profiles=918 ss=602 tau_skip=40 safe=126 checks=150 packed=150 cand=0 deferred=0
GRAPH 101 orientations=924 profiles=924 ss=608 tau_skip=40 safe=126 checks=150 packed=150 cand=0 deferred=0
GRAPH 102 orientations=934 profiles=934 ss=618 tau_skip=40 safe=126 checks=150 packed=150 cand=0 deferred=0
GRAPH 103 orientations=944 profiles=944 ss=628 tau_skip=40 safe=126 checks=150 packed=150 cand=0 deferred=0
GRAPH 104 orientations=958 profiles=958 ss=642 tau_skip=40 safe=126 checks=150 packed=150 cand=0 deferred=0
GRAPH 105 orientations=970 profiles=970 ss=654 tau_skip=40 safe=126 checks=150 packed=150 cand=0 deferred=0
GRAPH 106 orientations=976 profiles=976 ss=658 tau_skip=40 safe=126 checks=152 packed=152 cand=0 deferred=0
GRAPH 107 orientations=982 profiles=982 ss=662 tau_skip=40 safe=126 checks=154 packed=154 cand=0 deferred=0
GRAPH 108 orientations=994 profiles=994 ss=674 tau_skip=40 safe=126 checks=154 packed=154 cand=0 deferred=0
GRAPH 109 orientations=1010 profiles=1010 ss=678 tau_skip=40 safe=126 checks=166 packed=166 cand=0 deferred=0
GRAPH 110 orientations=1022 profiles=1022 ss=678 tau_skip=40 safe=126 checks=178 packed=178 cand=0 deferred=0
GRAPH 111 orientations=1034 profiles=1034 ss=678 tau_skip=52 safe=126 checks=178 packed=178 cand=0 deferred=0
GRAPH 112 orientations=1058 profiles=1058 ss=678 tau_skip=52 safe=126 checks=202 packed=202 cand=0 deferred=0
GRAPH 113 orientations=1064 profiles=1064 ss=684 tau_skip=52 safe=126 checks=202 packed=202 cand=0 deferred=0
GRAPH 114 orientations=1070 profiles=1070 ss=690 tau_skip=52 safe=126 checks=202 packed=202 cand=0 deferred=0
GRAPH 115 orientations=1072 profiles=1072 ss=692 tau_skip=52 safe=126 checks=202 packed=202 cand=0 deferred=0
GRAPH 116 orientations=1074 profiles=1074 ss=694 tau_skip=52 safe=126 checks=202 packed=202 cand=0 deferred=0
GRAPH 117 orientations=1090 profiles=1090 ss=706 tau_skip=52 safe=126 checks=206 packed=206 cand=0 deferred=0
GRAPH 118 orientations=1104 profiles=1104 ss=718 tau_skip=52 safe=126 checks=208 packed=208 cand=0 deferred=0
GRAPH 119 orientations=1118 profiles=1118 ss=724 tau_skip=52 safe=126 checks=216 packed=216 cand=0 deferred=0
GRAPH 120 orientations=1136 profiles=1136 ss=724 tau_skip=52 safe=138 checks=222 packed=222 cand=0 deferred=0
GRAPH 121 orientations=1150 profiles=1150 ss=732 tau_skip=52 safe=138 checks=228 packed=228 cand=0 deferred=0
GRAPH 122 orientations=1166 profiles=1166 ss=732 tau_skip=52 safe=146 checks=236 packed=236 cand=0 deferred=0
GRAPH 123 orientations=1190 profiles=1190 ss=732 tau_skip=76 safe=146 checks=236 packed=236 cand=0 deferred=0
GRAPH 124 orientations=1210 profiles=1210 ss=732 tau_skip=76 safe=162 checks=240 packed=240 cand=0 deferred=0
GRAPH 125 orientations=1224 profiles=1224 ss=732 tau_skip=76 safe=170 checks=246 packed=246 cand=0 deferred=0
GRAPH 126 orientations=1238 profiles=1238 ss=738 tau_skip=76 safe=174 checks=250 packed=250 cand=0 deferred=0
GRAPH 127 orientations=1242 profiles=1242 ss=742 tau_skip=76 safe=174 checks=250 packed=250 cand=0 deferred=0
GRAPH 128 orientations=1246 profiles=1246 ss=746 tau_skip=76 safe=174 checks=250 packed=250 cand=0 deferred=0
GRAPH 129 orientations=1254 profiles=1254 ss=754 tau_skip=76 safe=174 checks=250 packed=250 cand=0 deferred=0
GRAPH 130 orientations=1256 profiles=1256 ss=756 tau_skip=76 safe=174 checks=250 packed=250 cand=0 deferred=0
GRAPH 131 orientations=1262 profiles=1262 ss=762 tau_skip=76 safe=174 checks=250 packed=250 cand=0 deferred=0
GRAPH 132 orientations=1276 profiles=1276 ss=770 tau_skip=76 safe=174 checks=256 packed=256 cand=0 deferred=0
GRAPH 133 orientations=1288 profiles=1288 ss=778 tau_skip=76 safe=178 checks=256 packed=256 cand=0 deferred=0
GRAPH 134 orientations=1294 profiles=1294 ss=784 tau_skip=76 safe=178 checks=256 packed=256 cand=0 deferred=0
GRAPH 135 orientations=1304 profiles=1304 ss=794 tau_skip=76 safe=178 checks=256 packed=256 cand=0 deferred=0
GRAPH 136 orientations=1308 profiles=1308 ss=798 tau_skip=76 safe=178 checks=256 packed=256 cand=0 deferred=0
GRAPH 137 orientations=1326 profiles=1326 ss=808 tau_skip=76 safe=182 checks=260 packed=260 cand=0 deferred=0
GRAPH 138 orientations=1340 profiles=1340 ss=822 tau_skip=76 safe=182 checks=260 packed=260 cand=0 deferred=0
GRAPH 139 orientations=1352 profiles=1352 ss=830 tau_skip=76 safe=182 checks=264 packed=264 cand=0 deferred=0
GRAPH 140 orientations=1364 profiles=1364 ss=840 tau_skip=76 safe=182 checks=266 packed=266 cand=0 deferred=0
GRAPH 141 orientations=1372 profiles=1372 ss=848 tau_skip=76 safe=182 checks=266 packed=266 cand=0 deferred=0
GRAPH 142 orientations=1382 profiles=1382 ss=848 tau_skip=82 safe=182 checks=270 packed=270 cand=0 deferred=0
GRAPH 143 orientations=1398 profiles=1398 ss=858 tau_skip=82 safe=186 checks=272 packed=272 cand=0 deferred=0
GRAPH 144 orientations=1412 profiles=1412 ss=868 tau_skip=82 safe=190 checks=272 packed=272 cand=0 deferred=0
GRAPH 145 orientations=1428 profiles=1428 ss=874 tau_skip=82 safe=190 checks=282 packed=282 cand=0 deferred=0
GRAPH 146 orientations=1440 profiles=1440 ss=874 tau_skip=82 safe=198 checks=286 packed=286 cand=0 deferred=0
GRAPH 147 orientations=1452 profiles=1452 ss=886 tau_skip=82 safe=198 checks=286 packed=286 cand=0 deferred=0
GRAPH 148 orientations=1456 profiles=1456 ss=886 tau_skip=82 safe=198 checks=290 packed=290 cand=0 deferred=0
GRAPH 149 orientations=1474 profiles=1474 ss=886 tau_skip=100 safe=198 checks=290 packed=290 cand=0 deferred=0
GRAPH 150 orientations=1488 profiles=1488 ss=886 tau_skip=100 safe=210 checks=292 packed=292 cand=0 deferred=0
GRAPH 151 orientations=1500 profiles=1500 ss=886 tau_skip=112 safe=210 checks=292 packed=292 cand=0 deferred=0
GRAPH 152 orientations=1514 profiles=1514 ss=896 tau_skip=112 safe=214 checks=292 packed=292 cand=0 deferred=0
GRAPH 153 orientations=1524 profiles=1524 ss=902 tau_skip=112 safe=214 checks=296 packed=296 cand=0 deferred=0
GRAPH 154 orientations=1526 profiles=1526 ss=902 tau_skip=112 safe=214 checks=298 packed=298 cand=0 deferred=0
