GRAPH 819 orientations=35078460 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 827 orientations=35475102 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 835 orientations=35849094 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 843 orientations=36208038 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 851 orientations=36522726 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 859 orientations=36874566 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 867 orientations=37203426 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 875 orientations=37482642 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 883 orientations=37782516 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 891 orientations=38042928 profiles=228 ss=182 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 899 orientations=38373828 profiles=236 ss=190 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 907 orientations=38714106 profiles=236 ss=190 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 915 orientations=39075042 profiles=244 ss=198 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 923 orientations=39412938 profiles=244 ss=198 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 931 orientations=39764874 profiles=252 ss=206 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 939 orientations=40100244 profiles=256 ss=210 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 947 orientations=40469088 profiles=258 ss=212 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 955 orientations=40782336 profiles=266 ss=220 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 963 orientations=41098806 profiles=266 ss=220 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 971 orientations=41449962 profiles=266 ss=220 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 979 orientations=41840922 profiles=268 ss=222 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 987 orientations=42204096 profiles=270 ss=224 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 995 orientations=42565758 profiles=276 ss=230 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1003 orientations=42897030 profiles=280 ss=234 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1011 orientations=43236120 profiles=280 ss=234 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1019 orientations=43558608 profiles=280 ss=234 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1027 orientations=43912962 profiles=280 ss=234 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1035 orientations=44231340 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1043 orientations=44537118 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1051 orientations=44927088 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1059 orientations=45279918 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1067 orientations=45645816 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1075 orientations=45993174 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1083 orientations=46358568 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1091 orientations=46754892 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1099 orientations=47139024 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1107 orientations=47539722 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1115 orientations=47900040 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1123 orientations=48237516 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1131 orientations=48547038 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1139 orientations=48864360 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1147 orientations=49177080 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1155 orientations=49542846 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1163 orientations=49920846 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 1171 orientations=50256654 profiles=284 ss=238 tau_skip=4 safe=4 checks=38 packed=38 cand=0
