nohup: ignoring input
200 cubes, per-cube limit 30s, 4 jobs
cube 98: TIMEOUT   [99/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 99}]
cube 99: TIMEOUT   [100/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 100}]
cube 100: TIMEOUT   [101/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 101}]
cube 101: TIMEOUT   [102/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 102}]
cube 102: TIMEOUT   [103/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 103}]
cube 103: TIMEOUT   [104/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 104}]
cube 104: TIMEOUT   [105/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 105}]
cube 105: TIMEOUT   [106/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 106}]
cube 106: TIMEOUT   [107/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 107}]
cube 107: TIMEOUT   [108/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 108}]
cube 108: TIMEOUT   [109/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 109}]
cube 109: TIMEOUT   [110/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 110}]
cube 110: TIMEOUT   [111/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 111}]
cube 111: TIMEOUT   [112/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 112}]
cube 112: TIMEOUT   [113/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 113}]
cube 113: TIMEOUT   [114/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 114}]
cube 114: TIMEOUT   [115/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 115}]
cube 115: TIMEOUT   [116/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 116}]
cube 116: TIMEOUT   [117/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 117}]
cube 117: TIMEOUT   [118/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 118}]
cube 118: TIMEOUT   [119/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 119}]
cube 119: TIMEOUT   [120/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 120}]
cube 120: TIMEOUT   [121/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 121}]
cube 121: TIMEOUT   [122/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 122}]
cube 122: TIMEOUT   [123/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 123}]
cube 123: TIMEOUT   [124/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 124}]
cube 124: TIMEOUT   [125/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 125}]
cube 125: TIMEOUT   [126/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 126}]
cube 126: TIMEOUT   [127/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 127}]
