[6550/20000] {'OK': 6077, 'TIGHT': 473, 'CE': 0} 1311s
[6600/20000] {'OK': 6124, 'TIGHT': 476, 'CE': 0} 1324s
[6650/20000] {'OK': 6171, 'TIGHT': 479, 'CE': 0} 1341s
[6700/20000] {'OK': 6218, 'TIGHT': 482, 'CE': 0} 1354s
[6750/20000] {'OK': 6264, 'TIGHT': 486, 'CE': 0} 1370s
[6800/20000] {'OK': 6311, 'TIGHT': 489, 'CE': 0} 1391s
[6850/20000] {'OK': 6356, 'TIGHT': 494, 'CE': 0} 1416s
[6900/20000] {'OK': 6404, 'TIGHT': 496, 'CE': 0} 1435s
[6950/20000] {'OK': 6450, 'TIGHT': 500, 'CE': 0} 1456s
[7000/20000] {'OK': 6496, 'TIGHT': 504, 'CE': 0} 1478s
[7050/20000] {'OK': 6541, 'TIGHT': 509, 'CE': 0} 1498s
[7100/20000] {'OK': 6587, 'TIGHT': 513, 'CE': 0} 1520s
[7150/20000] {'OK': 6635, 'TIGHT': 515, 'CE': 0} 1545s
[7200/20000] {'OK': 6680, 'TIGHT': 520, 'CE': 0} 1566s
[7250/20000] {'OK': 6727, 'TIGHT': 523, 'CE': 0} 1585s
[7300/20000] {'OK': 6773, 'TIGHT': 527, 'CE': 0} 1605s
[7350/20000] {'OK': 6818, 'TIGHT': 532, 'CE': 0} 1630s
[7400/20000] {'OK': 6864, 'TIGHT': 536, 'CE': 0} 1652s
[7450/20000] {'OK': 6913, 'TIGHT': 537, 'CE': 0} 1673s
[7500/20000] {'OK': 6958, 'TIGHT': 542, 'CE': 0} 1693s
[7550/20000] {'OK': 7003, 'TIGHT': 547, 'CE': 0} 1713s
[7600/20000] {'OK': 7049, 'TIGHT': 551, 'CE': 0} 1733s
[7650/20000] {'OK': 7094, 'TIGHT': 556, 'CE': 0} 1755s
[7700/20000] {'OK': 7141, 'TIGHT': 559, 'CE': 0} 1783s
[7750/20000] {'OK': 7186, 'TIGHT': 564, 'CE': 0} 1805s
[7800/20000] {'OK': 7233, 'TIGHT': 567, 'CE': 0} 1823s
[7850/20000] {'OK': 7279, 'TIGHT': 571, 'CE': 0} 1845s
[7900/20000] {'OK': 7325, 'TIGHT': 575, 'CE': 0} 1862s
[7950/20000] {'OK': 7372, 'TIGHT': 578, 'CE': 0} 1882s
[8000/20000] {'OK': 7417, 'TIGHT': 583, 'CE': 0} 1898s
[8050/20000] {'OK': 7462, 'TIGHT': 588, 'CE': 0} 1916s
[8100/20000] {'OK': 7509, 'TIGHT': 591, 'CE': 0} 1935s
[8150/20000] {'OK': 7555, 'TIGHT': 595, 'CE': 0} 1954s
[8200/20000] {'OK': 7600, 'TIGHT': 600, 'CE': 0} 1972s
[8250/20000] {'OK': 7647, 'TIGHT': 603, 'CE': 0} 1990s
[8300/20000] {'OK': 7692, 'TIGHT': 608, 'CE': 0} 2006s
[8350/20000] {'OK': 7738, 'TIGHT': 612, 'CE': 0} 2023s
